histogram,entries,mean,std_dev
reco_mult_prim_total,82.00,1.93,1.19
reco_mult_prim_shower,46.00,2.02,1.58
reco_mult_muon,74.00,1.30,0.63
reco_mult_pion,17.00,1.24,0.55
reco_mult_proton,22.00,1.36,0.71
reco_mult_kaon,9.00,1.22,0.42
reco_length_prim_muon,101.00,41.42,28.18
reco_length_prim_pion,24.00,26.68,23.84
reco_length_prim_proton,31.00,15.63,15.33
reco_length_prim_kaon,12.00,28.08,24.90
reco_energy_prim_muon,101.00,0.17,0.08
reco_energy_prim_pion,24.00,0.10,0.07
reco_energy_prim_proton,31.00,0.14,0.08
reco_energy_prim_kaon,12.00,0.20,0.10
reco_cosTheta_prim_muon,101.00,0.86,0.41
reco_cosTheta_prim_pion,24.00,0.74,0.46
reco_cosTheta_prim_proton,31.00,0.33,0.60
reco_cosTheta_prim_kaon,12.00,0.52,0.76
reco_start_x_muon,101.00,21.40,30.23
reco_start_y_muon,101.00,2.03,32.15
reco_start_z_muon,101.00,6.03,35.91
reco_start_x_pion,24.00,8.68,33.51
reco_start_y_pion,24.00,1.87,31.39
reco_start_z_pion,24.00,-19.36,31.07
reco_start_x_proton,31.00,12.04,37.55
reco_start_y_proton,31.00,5.14,31.50
reco_start_z_proton,31.00,0.38,34.61
reco_start_x_kaon,12.00,14.63,32.10
reco_start_y_kaon,12.00,1.85,31.08
reco_start_z_kaon,12.00,-18.22,33.94
reco_nu_vtx_x_CC_LArFV,82.00,18.82,32.61
reco_nu_vtx_y_CC_LArFV,82.00,3.17,31.39
reco_nu_vtx_z_CC_LArFV,82.00,4.56,35.09
true_nu_vtx_x_CC_LArFV,0.00,0.00,0.00
true_nu_vtx_y_CC_LArFV,0.00,0.00,0.00
true_nu_vtx_z_CC_LArFV,0.00,0.00,0.00
