Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,0,0,0,0
3,2.5,309,17.5784,291.422,326.578
4,3.5,2183,46.7226,2136.28,2229.72
5,4.5,2303,47.9896,2255.01,2350.99
6,5.5,1992,44.6318,1947.37,2036.63
7,6.5,1346,36.6879,1309.31,1382.69
8,7.5,961,31,930,992
9,8.5,713,26.7021,686.298,739.702
10,9.5,593,24.3516,568.648,617.352
11,10.5,479,21.8861,457.114,500.886
12,11.5,408,20.199,387.801,428.199
13,12.5,330,18.1659,311.834,348.166
14,13.5,237,15.3948,221.605,252.395
15,14.5,209,14.4568,194.543,223.457
16,15.5,190,13.784,176.216,203.784
17,16.5,147,12.1244,134.876,159.124
18,17.5,131,11.4455,119.554,142.446
19,18.5,110,10.4881,99.5119,120.488
20,19.5,90,9.48683,80.5132,99.4868
