Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,91,9.53939,81.4606,100.539
5,-57.4,320,17.8885,302.111,337.889
6,-54.6,334,18.2757,315.724,352.276
7,-51.8,375,19.3649,355.635,394.365
8,-49,299,17.2916,281.708,316.292
9,-46.2,348,18.6548,329.345,366.655
10,-43.4,356,18.868,337.132,374.868
11,-40.6,331,18.1934,312.807,349.193
12,-37.8,333,18.2483,314.752,351.248
13,-35,397,19.9249,377.075,416.925
14,-32.2,336,18.3303,317.67,354.33
15,-29.4,358,18.9209,339.079,376.921
16,-26.6,348,18.6548,329.345,366.655
17,-23.8,335,18.303,316.697,353.303
18,-21,354,18.8149,335.185,372.815
19,-18.2,325,18.0278,306.972,343.028
20,-15.4,340,18.4391,321.561,358.439
21,-12.6,288,16.9706,271.029,304.971
22,-9.8,330,18.1659,311.834,348.166
23,-7,356,18.868,337.132,374.868
24,-4.2,65,8.06226,56.9377,73.0623
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,83,9.11043,73.8896,92.1104
28,7,339,18.412,320.588,357.412
29,9.8,342,18.4932,323.507,360.493
30,12.6,377,19.4165,357.584,396.416
31,15.4,366,19.1311,346.869,385.131
32,18.2,348,18.6548,329.345,366.655
33,21,366,19.1311,346.869,385.131
34,23.8,329,18.1384,310.862,347.138
35,26.6,348,18.6548,329.345,366.655
36,29.4,364,19.0788,344.921,383.079
37,32.2,350,18.7083,331.292,368.708
38,35,346,18.6011,327.399,364.601
39,37.8,336,18.3303,317.67,354.33
40,40.6,317,17.8045,299.196,334.804
41,43.4,335,18.303,316.697,353.303
42,46.2,336,18.3303,317.67,354.33
43,49,324,18,306,342
44,51.8,318,17.8326,300.167,335.833
45,54.6,326,18.0555,307.945,344.055
46,57.4,341,18.4662,322.534,359.466
47,60.2,68,8.24621,59.7538,76.2462
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
