Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,4,2,2,6
3,-0.95,1,1,0,2
4,-0.93,1,1,0,2
5,-0.91,1,1,0,2
6,-0.89,5,2.23607,2.76393,7.23607
7,-0.87,2,1.41421,0.585786,3.41421
8,-0.85,2,1.41421,0.585786,3.41421
9,-0.83,2,1.41421,0.585786,3.41421
10,-0.81,1,1,0,2
11,-0.79,1,1,0,2
12,-0.77,3,1.73205,1.26795,4.73205
13,-0.75,1,1,0,2
14,-0.73,2,1.41421,0.585786,3.41421
15,-0.71,3,1.73205,1.26795,4.73205
16,-0.69,2,1.41421,0.585786,3.41421
17,-0.67,1,1,0,2
18,-0.65,2,1.41421,0.585786,3.41421
19,-0.63,5,2.23607,2.76393,7.23607
20,-0.61,3,1.73205,1.26795,4.73205
21,-0.59,4,2,2,6
22,-0.57,0,0,0,0
23,-0.55,3,1.73205,1.26795,4.73205
24,-0.53,1,1,0,2
25,-0.51,4,2,2,6
26,-0.49,0,0,0,0
27,-0.47,3,1.73205,1.26795,4.73205
28,-0.45,4,2,2,6
29,-0.43,4,2,2,6
30,-0.41,8,2.82843,5.17157,10.8284
31,-0.39,4,2,2,6
32,-0.37,4,2,2,6
33,-0.35,2,1.41421,0.585786,3.41421
34,-0.33,7,2.64575,4.35425,9.64575
35,-0.31,5,2.23607,2.76393,7.23607
36,-0.29,1,1,0,2
37,-0.27,5,2.23607,2.76393,7.23607
38,-0.25,2,1.41421,0.585786,3.41421
39,-0.23,1,1,0,2
40,-0.21,5,2.23607,2.76393,7.23607
41,-0.19,10,3.16228,6.83772,13.1623
42,-0.17,0,0,0,0
43,-0.15,6,2.44949,3.55051,8.44949
44,-0.13,2,1.41421,0.585786,3.41421
45,-0.11,2,1.41421,0.585786,3.41421
46,-0.09,3,1.73205,1.26795,4.73205
47,-0.07,1,1,0,2
48,-0.05,4,2,2,6
49,-0.03,4,2,2,6
50,-0.01,0,0,0,0
51,0.01,10,3.16228,6.83772,13.1623
52,0.03,3,1.73205,1.26795,4.73205
53,0.05,7,2.64575,4.35425,9.64575
54,0.07,7,2.64575,4.35425,9.64575
55,0.09,5,2.23607,2.76393,7.23607
56,0.11,2,1.41421,0.585786,3.41421
57,0.13,8,2.82843,5.17157,10.8284
58,0.15,7,2.64575,4.35425,9.64575
59,0.17,5,2.23607,2.76393,7.23607
60,0.19,11,3.31662,7.68338,14.3166
61,0.21,6,2.44949,3.55051,8.44949
62,0.23,7,2.64575,4.35425,9.64575
63,0.25,8,2.82843,5.17157,10.8284
64,0.27,6,2.44949,3.55051,8.44949
65,0.29,9,3,6,12
66,0.31,6,2.44949,3.55051,8.44949
67,0.33,9,3,6,12
68,0.35,9,3,6,12
69,0.37,13,3.60555,9.39445,16.6056
70,0.39,7,2.64575,4.35425,9.64575
71,0.41,13,3.60555,9.39445,16.6056
72,0.43,7,2.64575,4.35425,9.64575
73,0.45,10,3.16228,6.83772,13.1623
74,0.47,10,3.16228,6.83772,13.1623
75,0.49,16,4,12,20
76,0.51,12,3.4641,8.5359,15.4641
77,0.53,10,3.16228,6.83772,13.1623
78,0.55,9,3,6,12
79,0.57,13,3.60555,9.39445,16.6056
80,0.59,13,3.60555,9.39445,16.6056
81,0.61,13,3.60555,9.39445,16.6056
82,0.63,10,3.16228,6.83772,13.1623
83,0.65,11,3.31662,7.68338,14.3166
84,0.67,13,3.60555,9.39445,16.6056
85,0.69,18,4.24264,13.7574,22.2426
86,0.71,21,4.58258,16.4174,25.5826
87,0.73,8,2.82843,5.17157,10.8284
88,0.75,18,4.24264,13.7574,22.2426
89,0.77,20,4.47214,15.5279,24.4721
90,0.79,15,3.87298,11.127,18.873
91,0.81,19,4.3589,14.6411,23.3589
92,0.83,24,4.89898,19.101,28.899
93,0.85,31,5.56776,25.4322,36.5678
94,0.87,33,5.74456,27.2554,38.7446
95,0.89,31,5.56776,25.4322,36.5678
96,0.91,31,5.56776,25.4322,36.5678
97,0.93,37,6.08276,30.9172,43.0828
98,0.95,38,6.16441,31.8356,44.1644
99,0.97,45,6.7082,38.2918,51.7082
100,0.99,64,8,56,72
