Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,11,3.31662,7.68338,14.3166
2,0.03,44,6.63325,37.3668,50.6332
3,0.05,58,7.61577,50.3842,65.6158
4,0.07,65,8.06226,56.9377,73.0623
5,0.09,113,10.6301,102.37,123.63
6,0.11,141,11.8743,129.126,152.874
7,0.13,156,12.49,143.51,168.49
8,0.15,200,14.1421,185.858,214.142
9,0.17,159,12.6095,146.39,171.61
10,0.19,158,12.5698,145.43,170.57
11,0.21,166,12.8841,153.116,178.884
12,0.23,172,13.1149,158.885,185.115
13,0.25,184,13.5647,170.435,197.565
14,0.27,147,12.1244,134.876,159.124
15,0.29,151,12.2882,138.712,163.288
16,0.31,116,10.7703,105.23,126.77
17,0.33,82,9.05539,72.9446,91.0554
18,0.35,43,6.55744,36.4426,49.5574
19,0.37,22,4.69042,17.3096,26.6904
20,0.39,27,5.19615,21.8038,32.1962
21,0.41,24,4.89898,19.101,28.899
22,0.43,18,4.24264,13.7574,22.2426
23,0.45,9,3,6,12
24,0.47,6,2.44949,3.55051,8.44949
25,0.49,11,3.31662,7.68338,14.3166
26,0.51,6,2.44949,3.55051,8.44949
27,0.53,7,2.64575,4.35425,9.64575
28,0.55,5,2.23607,2.76393,7.23607
29,0.57,3,1.73205,1.26795,4.73205
30,0.59,3,1.73205,1.26795,4.73205
31,0.61,4,2,2,6
32,0.63,7,2.64575,4.35425,9.64575
33,0.65,1,1,0,2
34,0.67,1,1,0,2
35,0.69,2,1.41421,0.585786,3.41421
36,0.71,0,0,0,0
37,0.73,2,1.41421,0.585786,3.41421
38,0.75,1,1,0,2
39,0.77,1,1,0,2
40,0.79,0,0,0,0
41,0.81,1,1,0,2
42,0.83,0,0,0,0
43,0.85,1,1,0,2
44,0.87,0,0,0,0
45,0.89,1,1,0,2
46,0.91,1,1,0,2
47,0.93,1,1,0,2
48,0.95,1,1,0,2
49,0.97,0,0,0,0
50,0.99,1,1,0,2
