Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,41,6.40312,34.5969,47.4031
3,0.05,61,7.81025,53.1898,68.8102
4,0.07,46,6.78233,39.2177,52.7823
5,0.09,41,6.40312,34.5969,47.4031
6,0.11,36,6,30,42
7,0.13,40,6.32456,33.6754,46.3246
8,0.15,37,6.08276,30.9172,43.0828
9,0.17,26,5.09902,20.901,31.099
10,0.19,19,4.3589,14.6411,23.3589
11,0.21,10,3.16228,6.83772,13.1623
12,0.23,4,2,2,6
13,0.25,8,2.82843,5.17157,10.8284
14,0.27,4,2,2,6
15,0.29,1,1,0,2
16,0.31,4,2,2,6
17,0.33,0,0,0,0
18,0.35,0,0,0,0
19,0.37,0,0,0,0
20,0.39,1,1,0,2
21,0.41,0,0,0,0
22,0.43,0,0,0,0
23,0.45,1,1,0,2
24,0.47,0,0,0,0
25,0.49,1,1,0,2
26,0.51,0,0,0,0
27,0.53,1,1,0,2
28,0.55,0,0,0,0
29,0.57,0,0,0,0
30,0.59,0,0,0,0
31,0.61,0,0,0,0
32,0.63,0,0,0,0
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,0,0,0,0
40,0.79,0,0,0,0
41,0.81,0,0,0,0
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,0,0,0,0
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,0,0,0,0
