Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,0,0,0,0
3,0.05,95,9.74679,85.2532,104.747
4,0.07,102,10.0995,91.9005,112.1
5,0.09,90,9.48683,80.5132,99.4868
6,0.11,78,8.83176,69.1682,86.8318
7,0.13,81,9,72,90
8,0.15,58,7.61577,50.3842,65.6158
9,0.17,62,7.87401,54.126,69.874
10,0.19,61,7.81025,53.1898,68.8102
11,0.21,41,6.40312,34.5969,47.4031
12,0.23,38,6.16441,31.8356,44.1644
13,0.25,34,5.83095,28.169,39.831
14,0.27,24,4.89898,19.101,28.899
15,0.29,15,3.87298,11.127,18.873
16,0.31,22,4.69042,17.3096,26.6904
17,0.33,21,4.58258,16.4174,25.5826
18,0.35,19,4.3589,14.6411,23.3589
19,0.37,13,3.60555,9.39445,16.6056
20,0.39,7,2.64575,4.35425,9.64575
21,0.41,5,2.23607,2.76393,7.23607
22,0.43,3,1.73205,1.26795,4.73205
23,0.45,2,1.41421,0.585786,3.41421
24,0.47,4,2,2,6
25,0.49,4,2,2,6
26,0.51,3,1.73205,1.26795,4.73205
27,0.53,0,0,0,0
28,0.55,0,0,0,0
29,0.57,0,0,0,0
30,0.59,0,0,0,0
31,0.61,1,1,0,2
32,0.63,0,0,0,0
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,0,0,0,0
40,0.79,0,0,0,0
41,0.81,0,0,0,0
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,0,0,0,0
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,0,0,0,0
