Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,33,5.74456,27.2554,38.7446
3,5,27,5.19615,21.8038,32.1962
4,7,25,5,20,30
5,9,47,6.85565,40.1443,53.8557
6,11,55,7.4162,47.5838,62.4162
7,13,55,7.4162,47.5838,62.4162
8,15,48,6.9282,41.0718,54.9282
9,17,55,7.4162,47.5838,62.4162
10,19,45,6.7082,38.2918,51.7082
11,21,54,7.34847,46.6515,61.3485
12,23,59,7.68115,51.3189,66.6811
13,25,40,6.32456,33.6754,46.3246
14,27,47,6.85565,40.1443,53.8557
15,29,49,7,42,56
16,31,44,6.63325,37.3668,50.6332
17,33,53,7.28011,45.7199,60.2801
18,35,58,7.61577,50.3842,65.6158
19,37,63,7.93725,55.0627,70.9373
20,39,48,6.9282,41.0718,54.9282
21,41,64,8,56,72
22,43,59,7.68115,51.3189,66.6811
23,45,61,7.81025,53.1898,68.8102
24,47,53,7.28011,45.7199,60.2801
25,49,51,7.14143,43.8586,58.1414
26,51,59,7.68115,51.3189,66.6811
27,53,48,6.9282,41.0718,54.9282
28,55,48,6.9282,41.0718,54.9282
29,57,45,6.7082,38.2918,51.7082
30,59,57,7.54983,49.4502,64.5498
31,61,18,4.24264,13.7574,22.2426
32,63,10,3.16228,6.83772,13.1623
33,65,7,2.64575,4.35425,9.64575
34,67,5,2.23607,2.76393,7.23607
35,69,6,2.44949,3.55051,8.44949
36,71,35,5.91608,29.0839,40.9161
37,73,33,5.74456,27.2554,38.7446
38,75,29,5.38516,23.6148,34.3852
39,77,37,6.08276,30.9172,43.0828
40,79,32,5.65685,26.3431,37.6569
41,81,34,5.83095,28.169,39.831
42,83,42,6.48074,35.5193,48.4807
43,85,44,6.63325,37.3668,50.6332
44,87,22,4.69042,17.3096,26.6904
45,89,40,6.32456,33.6754,46.3246
46,91,40,6.32456,33.6754,46.3246
47,93,24,4.89898,19.101,28.899
48,95,36,6,30,42
49,97,51,7.14143,43.8586,58.1414
50,99,34,5.83095,28.169,39.831
