Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,21,4.58258,16.4174,25.5826
3,5,20,4.47214,15.5279,24.4721
4,7,23,4.79583,18.2042,27.7958
5,9,18,4.24264,13.7574,22.2426
6,11,26,5.09902,20.901,31.099
7,13,19,4.3589,14.6411,23.3589
8,15,16,4,12,20
9,17,12,3.4641,8.5359,15.4641
10,19,9,3,6,12
11,21,14,3.74166,10.2583,17.7417
12,23,13,3.60555,9.39445,16.6056
13,25,15,3.87298,11.127,18.873
14,27,12,3.4641,8.5359,15.4641
15,29,14,3.74166,10.2583,17.7417
16,31,6,2.44949,3.55051,8.44949
17,33,12,3.4641,8.5359,15.4641
18,35,7,2.64575,4.35425,9.64575
19,37,12,3.4641,8.5359,15.4641
20,39,12,3.4641,8.5359,15.4641
21,41,9,3,6,12
22,43,4,2,2,6
23,45,12,3.4641,8.5359,15.4641
24,47,16,4,12,20
25,49,6,2.44949,3.55051,8.44949
26,51,6,2.44949,3.55051,8.44949
27,53,10,3.16228,6.83772,13.1623
28,55,5,2.23607,2.76393,7.23607
29,57,4,2,2,6
30,59,4,2,2,6
31,61,3,1.73205,1.26795,4.73205
32,63,2,1.41421,0.585786,3.41421
33,65,5,2.23607,2.76393,7.23607
34,67,6,2.44949,3.55051,8.44949
35,69,2,1.41421,0.585786,3.41421
36,71,1,1,0,2
37,73,1,1,0,2
38,75,2,1.41421,0.585786,3.41421
39,77,3,1.73205,1.26795,4.73205
40,79,1,1,0,2
41,81,1,1,0,2
42,83,0,0,0,0
43,85,2,1.41421,0.585786,3.41421
44,87,1,1,0,2
45,89,1,1,0,2
46,91,1,1,0,2
47,93,1,1,0,2
48,95,0,0,0,0
49,97,0,0,0,0
50,99,1,1,0,2
