Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,137,11.7047,125.295,148.705
3,5,90,9.48683,80.5132,99.4868
4,7,73,8.544,64.456,81.544
5,9,58,7.61577,50.3842,65.6158
6,11,49,7,42,56
7,13,39,6.245,32.755,45.245
8,15,31,5.56776,25.4322,36.5678
9,17,40,6.32456,33.6754,46.3246
10,19,43,6.55744,36.4426,49.5574
11,21,24,4.89898,19.101,28.899
12,23,32,5.65685,26.3431,37.6569
13,25,22,4.69042,17.3096,26.6904
14,27,24,4.89898,19.101,28.899
15,29,19,4.3589,14.6411,23.3589
16,31,15,3.87298,11.127,18.873
17,33,13,3.60555,9.39445,16.6056
18,35,21,4.58258,16.4174,25.5826
19,37,14,3.74166,10.2583,17.7417
20,39,12,3.4641,8.5359,15.4641
21,41,10,3.16228,6.83772,13.1623
22,43,12,3.4641,8.5359,15.4641
23,45,7,2.64575,4.35425,9.64575
24,47,10,3.16228,6.83772,13.1623
25,49,6,2.44949,3.55051,8.44949
26,51,9,3,6,12
27,53,6,2.44949,3.55051,8.44949
28,55,5,2.23607,2.76393,7.23607
29,57,8,2.82843,5.17157,10.8284
30,59,3,1.73205,1.26795,4.73205
31,61,7,2.64575,4.35425,9.64575
32,63,7,2.64575,4.35425,9.64575
33,65,6,2.44949,3.55051,8.44949
34,67,4,2,2,6
35,69,4,2,2,6
36,71,6,2.44949,3.55051,8.44949
37,73,5,2.23607,2.76393,7.23607
38,75,2,1.41421,0.585786,3.41421
39,77,1,1,0,2
40,79,1,1,0,2
41,81,1,1,0,2
42,83,2,1.41421,0.585786,3.41421
43,85,1,1,0,2
44,87,4,2,2,6
45,89,0,0,0,0
46,91,2,1.41421,0.585786,3.41421
47,93,1,1,0,2
48,95,1,1,0,2
49,97,1,1,0,2
50,99,2,1.41421,0.585786,3.41421
