Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,217,14.7309,202.269,231.731
3,2.5,249,15.7797,233.22,264.78
4,3.5,83,9.11043,73.8896,92.1104
5,4.5,54,7.34847,46.6515,61.3485
6,5.5,27,5.19615,21.8038,32.1962
7,6.5,12,3.4641,8.5359,15.4641
8,7.5,7,2.64575,4.35425,9.64575
9,8.5,2,1.41421,0.585786,3.41421
10,9.5,2,1.41421,0.585786,3.41421
11,10.5,3,1.73205,1.26795,4.73205
12,11.5,1,1,0,2
13,12.5,1,1,0,2
14,13.5,0,0,0,0
15,14.5,0,0,0,0
16,15.5,0,0,0,0
17,16.5,0,0,0,0
18,17.5,0,0,0,0
19,18.5,0,0,0,0
20,19.5,1,1,0,2
