Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,5,2.23607,2.76393,7.23607
6,-54.6,40,6.32456,33.6754,46.3246
7,-51.8,36,6,30,42
8,-49,44,6.63325,37.3668,50.6332
9,-46.2,50,7.07107,42.9289,57.0711
10,-43.4,41,6.40312,34.5969,47.4031
11,-40.6,47,6.85565,40.1443,53.8557
12,-37.8,43,6.55744,36.4426,49.5574
13,-35,56,7.48331,48.5167,63.4833
14,-32.2,32,5.65685,26.3431,37.6569
15,-29.4,42,6.48074,35.5193,48.4807
16,-26.6,45,6.7082,38.2918,51.7082
17,-23.8,41,6.40312,34.5969,47.4031
18,-21,51,7.14143,43.8586,58.1414
19,-18.2,33,5.74456,27.2554,38.7446
20,-15.4,48,6.9282,41.0718,54.9282
21,-12.6,30,5.47723,24.5228,35.4772
22,-9.8,49,7,42,56
23,-7,33,5.74456,27.2554,38.7446
24,-4.2,52,7.2111,44.7889,59.2111
25,-1.4,50,7.07107,42.9289,57.0711
26,1.4,49,7,42,56
27,4.2,53,7.28011,45.7199,60.2801
28,7,43,6.55744,36.4426,49.5574
29,9.8,45,6.7082,38.2918,51.7082
30,12.6,46,6.78233,39.2177,52.7823
31,15.4,34,5.83095,28.169,39.831
32,18.2,48,6.9282,41.0718,54.9282
33,21,45,6.7082,38.2918,51.7082
34,23.8,43,6.55744,36.4426,49.5574
35,26.6,47,6.85565,40.1443,53.8557
36,29.4,36,6,30,42
37,32.2,52,7.2111,44.7889,59.2111
38,35,39,6.245,32.755,45.245
39,37.8,36,6,30,42
40,40.6,47,6.85565,40.1443,53.8557
41,43.4,41,6.40312,34.5969,47.4031
42,46.2,45,6.7082,38.2918,51.7082
43,49,54,7.34847,46.6515,61.3485
44,51.8,33,5.74456,27.2554,38.7446
45,54.6,42,6.48074,35.5193,48.4807
46,57.4,21,4.58258,16.4174,25.5826
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
