Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,4,2,2,6
5,-57.4,46,6.78233,39.2177,52.7823
6,-54.6,55,7.4162,47.5838,62.4162
7,-51.8,48,6.9282,41.0718,54.9282
8,-49,39,6.245,32.755,45.245
9,-46.2,39,6.245,32.755,45.245
10,-43.4,52,7.2111,44.7889,59.2111
11,-40.6,50,7.07107,42.9289,57.0711
12,-37.8,36,6,30,42
13,-35,55,7.4162,47.5838,62.4162
14,-32.2,58,7.61577,50.3842,65.6158
15,-29.4,43,6.55744,36.4426,49.5574
16,-26.6,41,6.40312,34.5969,47.4031
17,-23.8,47,6.85565,40.1443,53.8557
18,-21,43,6.55744,36.4426,49.5574
19,-18.2,54,7.34847,46.6515,61.3485
20,-15.4,43,6.55744,36.4426,49.5574
21,-12.6,46,6.78233,39.2177,52.7823
22,-9.8,39,6.245,32.755,45.245
23,-7,49,7,42,56
24,-4.2,10,3.16228,6.83772,13.1623
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,18,4.24264,13.7574,22.2426
28,7,56,7.48331,48.5167,63.4833
29,9.8,50,7.07107,42.9289,57.0711
30,12.6,54,7.34847,46.6515,61.3485
31,15.4,47,6.85565,40.1443,53.8557
32,18.2,64,8,56,72
33,21,56,7.48331,48.5167,63.4833
34,23.8,52,7.2111,44.7889,59.2111
35,26.6,46,6.78233,39.2177,52.7823
36,29.4,55,7.4162,47.5838,62.4162
37,32.2,55,7.4162,47.5838,62.4162
38,35,29,5.38516,23.6148,34.3852
39,37.8,35,5.91608,29.0839,40.9161
40,40.6,37,6.08276,30.9172,43.0828
41,43.4,53,7.28011,45.7199,60.2801
42,46.2,31,5.56776,25.4322,36.5678
43,49,39,6.245,32.755,45.245
44,51.8,41,6.40312,34.5969,47.4031
45,54.6,27,5.19615,21.8038,32.1962
46,57.4,22,4.69042,17.3096,26.6904
47,60.2,3,1.73205,1.26795,4.73205
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
