Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,0,0,0,0
6,-54.6,0,0,0,0
7,-51.8,0,0,0,0
8,-49,0,0,0,0
9,-46.2,0,0,0,0
10,-43.4,0,0,0,0
11,-40.6,14,3.74166,10.2583,17.7417
12,-37.8,31,5.56776,25.4322,36.5678
13,-35,33,5.74456,27.2554,38.7446
14,-32.2,32,5.65685,26.3431,37.6569
15,-29.4,4,2,2,6
16,-26.6,0,0,0,0
17,-23.8,0,0,0,0
18,-21,0,0,0,0
19,-18.2,0,0,0,0
20,-15.4,0,0,0,0
21,-12.6,0,0,0,0
22,-9.8,0,0,0,0
23,-7,0,0,0,0
24,-4.2,0,0,0,0
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,0,0,0,0
28,7,0,0,0,0
29,9.8,0,0,0,0
30,12.6,0,0,0,0
31,15.4,0,0,0,0
32,18.2,0,0,0,0
33,21,0,0,0,0
34,23.8,0,0,0,0
35,26.6,1,1,0,2
36,29.4,6,2.44949,3.55051,8.44949
37,32.2,20,4.47214,15.5279,24.4721
38,35,14,3.74166,10.2583,17.7417
39,37.8,14,3.74166,10.2583,17.7417
40,40.6,7,2.64575,4.35425,9.64575
41,43.4,0,0,0,0
42,46.2,0,0,0,0
43,49,0,0,0,0
44,51.8,0,0,0,0
45,54.6,0,0,0,0
46,57.4,0,0,0,0
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
