Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,0,0,0,0
6,-54.6,1,1,0,2
7,-51.8,3,1.73205,1.26795,4.73205
8,-49,5,2.23607,2.76393,7.23607
9,-46.2,12,3.4641,8.5359,15.4641
10,-43.4,2,1.41421,0.585786,3.41421
11,-40.6,4,2,2,6
12,-37.8,5,2.23607,2.76393,7.23607
13,-35,9,3,6,12
14,-32.2,6,2.44949,3.55051,8.44949
15,-29.4,0,0,0,0
16,-26.6,6,2.44949,3.55051,8.44949
17,-23.8,4,2,2,6
18,-21,4,2,2,6
19,-18.2,1,1,0,2
20,-15.4,2,1.41421,0.585786,3.41421
21,-12.6,4,2,2,6
22,-9.8,1,1,0,2
23,-7,4,2,2,6
24,-4.2,5,2.23607,2.76393,7.23607
25,-1.4,6,2.44949,3.55051,8.44949
26,1.4,5,2.23607,2.76393,7.23607
27,4.2,7,2.64575,4.35425,9.64575
28,7,5,2.23607,2.76393,7.23607
29,9.8,5,2.23607,2.76393,7.23607
30,12.6,4,2,2,6
31,15.4,0,0,0,0
32,18.2,1,1,0,2
33,21,1,1,0,2
34,23.8,5,2.23607,2.76393,7.23607
35,26.6,6,2.44949,3.55051,8.44949
36,29.4,8,2.82843,5.17157,10.8284
37,32.2,6,2.44949,3.55051,8.44949
38,35,3,1.73205,1.26795,4.73205
39,37.8,5,2.23607,2.76393,7.23607
40,40.6,5,2.23607,2.76393,7.23607
41,43.4,4,2,2,6
42,46.2,4,2,2,6
43,49,7,2.64575,4.35425,9.64575
44,51.8,3,1.73205,1.26795,4.73205
45,54.6,3,1.73205,1.26795,4.73205
46,57.4,5,2.23607,2.76393,7.23607
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
