Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,2,1.41421,0.585786,3.41421
4,-60.2,0,0,0,0
5,-57.4,12,3.4641,8.5359,15.4641
6,-54.6,63,7.93725,55.0627,70.9373
7,-51.8,51,7.14143,43.8586,58.1414
8,-49,76,8.7178,67.2822,84.7178
9,-46.2,73,8.544,64.456,81.544
10,-43.4,63,7.93725,55.0627,70.9373
11,-40.6,68,8.24621,59.7538,76.2462
12,-37.8,54,7.34847,46.6515,61.3485
13,-35,70,8.3666,61.6334,78.3666
14,-32.2,45,6.7082,38.2918,51.7082
15,-29.4,55,7.4162,47.5838,62.4162
16,-26.6,68,8.24621,59.7538,76.2462
17,-23.8,56,7.48331,48.5167,63.4833
18,-21,70,8.3666,61.6334,78.3666
19,-18.2,49,7,42,56
20,-15.4,80,8.94427,71.0557,88.9443
21,-12.6,46,6.78233,39.2177,52.7823
22,-9.8,70,8.3666,61.6334,78.3666
23,-7,44,6.63325,37.3668,50.6332
24,-4.2,74,8.60233,65.3977,82.6023
25,-1.4,72,8.48528,63.5147,80.4853
26,1.4,63,7.93725,55.0627,70.9373
27,4.2,79,8.88819,70.1118,87.8882
28,7,61,7.81025,53.1898,68.8102
29,9.8,63,7.93725,55.0627,70.9373
30,12.6,59,7.68115,51.3189,66.6811
31,15.4,45,6.7082,38.2918,51.7082
32,18.2,60,7.74597,52.254,67.746
33,21,67,8.18535,58.8146,75.1854
34,23.8,61,7.81025,53.1898,68.8102
35,26.6,55,7.4162,47.5838,62.4162
36,29.4,53,7.28011,45.7199,60.2801
37,32.2,67,8.18535,58.8146,75.1854
38,35,49,7,42,56
39,37.8,50,7.07107,42.9289,57.0711
40,40.6,66,8.12404,57.876,74.124
41,43.4,56,7.48331,48.5167,63.4833
42,46.2,56,7.48331,48.5167,63.4833
43,49,75,8.66025,66.3397,83.6603
44,51.8,47,6.85565,40.1443,53.8557
45,54.6,52,7.2111,44.7889,59.2111
46,57.4,33,5.74456,27.2554,38.7446
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
