Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,0,0,0,0
6,-54.6,5,2.23607,2.76393,7.23607
7,-51.8,9,3,6,12
8,-49,13,3.60555,9.39445,16.6056
9,-46.2,9,3,6,12
10,-43.4,9,3,6,12
11,-40.6,12,3.4641,8.5359,15.4641
12,-37.8,13,3.60555,9.39445,16.6056
13,-35,12,3.4641,8.5359,15.4641
14,-32.2,13,3.60555,9.39445,16.6056
15,-29.4,7,2.64575,4.35425,9.64575
16,-26.6,14,3.74166,10.2583,17.7417
17,-23.8,12,3.4641,8.5359,15.4641
18,-21,10,3.16228,6.83772,13.1623
19,-18.2,10,3.16228,6.83772,13.1623
20,-15.4,10,3.16228,6.83772,13.1623
21,-12.6,7,2.64575,4.35425,9.64575
22,-9.8,6,2.44949,3.55051,8.44949
23,-7,5,2.23607,2.76393,7.23607
24,-4.2,9,3,6,12
25,-1.4,10,3.16228,6.83772,13.1623
26,1.4,8,2.82843,5.17157,10.8284
27,4.2,18,4.24264,13.7574,22.2426
28,7,7,2.64575,4.35425,9.64575
29,9.8,7,2.64575,4.35425,9.64575
30,12.6,10,3.16228,6.83772,13.1623
31,15.4,7,2.64575,4.35425,9.64575
32,18.2,11,3.31662,7.68338,14.3166
33,21,12,3.4641,8.5359,15.4641
34,23.8,6,2.44949,3.55051,8.44949
35,26.6,11,3.31662,7.68338,14.3166
36,29.4,11,3.31662,7.68338,14.3166
37,32.2,10,3.16228,6.83772,13.1623
38,35,9,3,6,12
39,37.8,11,3.31662,7.68338,14.3166
40,40.6,13,3.60555,9.39445,16.6056
41,43.4,9,3,6,12
42,46.2,6,2.44949,3.55051,8.44949
43,49,7,2.64575,4.35425,9.64575
44,51.8,13,3.60555,9.39445,16.6056
45,54.6,9,3,6,12
46,57.4,5,2.23607,2.76393,7.23607
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
