Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,3,1.73205,1.26795,4.73205
6,-54.6,28,5.2915,22.7085,33.2915
7,-51.8,14,3.74166,10.2583,17.7417
8,-49,22,4.69042,17.3096,26.6904
9,-46.2,28,5.2915,22.7085,33.2915
10,-43.4,26,5.09902,20.901,31.099
11,-40.6,27,5.19615,21.8038,32.1962
12,-37.8,29,5.38516,23.6148,34.3852
13,-35,42,6.48074,35.5193,48.4807
14,-32.2,16,4,12,20
15,-29.4,29,5.38516,23.6148,34.3852
16,-26.6,22,4.69042,17.3096,26.6904
17,-23.8,21,4.58258,16.4174,25.5826
18,-21,29,5.38516,23.6148,34.3852
19,-18.2,19,4.3589,14.6411,23.3589
20,-15.4,15,3.87298,11.127,18.873
21,-12.6,15,3.87298,11.127,18.873
22,-9.8,21,4.58258,16.4174,25.5826
23,-7,15,3.87298,11.127,18.873
24,-4.2,26,5.09902,20.901,31.099
25,-1.4,22,4.69042,17.3096,26.6904
26,1.4,17,4.12311,12.8769,21.1231
27,4.2,33,5.74456,27.2554,38.7446
28,7,17,4.12311,12.8769,21.1231
29,9.8,29,5.38516,23.6148,34.3852
30,12.6,22,4.69042,17.3096,26.6904
31,15.4,20,4.47214,15.5279,24.4721
32,18.2,42,6.48074,35.5193,48.4807
33,21,13,3.60555,9.39445,16.6056
34,23.8,13,3.60555,9.39445,16.6056
35,26.6,18,4.24264,13.7574,22.2426
36,29.4,10,3.16228,6.83772,13.1623
37,32.2,26,5.09902,20.901,31.099
38,35,11,3.31662,7.68338,14.3166
39,37.8,21,4.58258,16.4174,25.5826
40,40.6,26,5.09902,20.901,31.099
41,43.4,23,4.79583,18.2042,27.7958
42,46.2,27,5.19615,21.8038,32.1962
43,49,17,4.12311,12.8769,21.1231
44,51.8,15,3.87298,11.127,18.873
45,54.6,18,4.24264,13.7574,22.2426
46,57.4,12,3.4641,8.5359,15.4641
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
