Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,4,2,2,6
3,-63,1,1,0,2
4,-60.2,7,2.64575,4.35425,9.64575
5,-57.4,61,7.81025,53.1898,68.8102
6,-54.6,63,7.93725,55.0627,70.9373
7,-51.8,65,8.06226,56.9377,73.0623
8,-49,53,7.28011,45.7199,60.2801
9,-46.2,49,7,42,56
10,-43.4,63,7.93725,55.0627,70.9373
11,-40.6,69,8.30662,60.6934,77.3066
12,-37.8,55,7.4162,47.5838,62.4162
13,-35,61,7.81025,53.1898,68.8102
14,-32.2,85,9.21954,75.7805,94.2195
15,-29.4,54,7.34847,46.6515,61.3485
16,-26.6,53,7.28011,45.7199,60.2801
17,-23.8,57,7.54983,49.4502,64.5498
18,-21,62,7.87401,54.126,69.874
19,-18.2,62,7.87401,54.126,69.874
20,-15.4,52,7.2111,44.7889,59.2111
21,-12.6,60,7.74597,52.254,67.746
22,-9.8,55,7.4162,47.5838,62.4162
23,-7,64,8,56,72
24,-4.2,20,4.47214,15.5279,24.4721
25,-1.4,0,0,0,0
26,1.4,6,2.44949,3.55051,8.44949
27,4.2,22,4.69042,17.3096,26.6904
28,7,79,8.88819,70.1118,87.8882
29,9.8,74,8.60233,65.3977,82.6023
30,12.6,74,8.60233,65.3977,82.6023
31,15.4,75,8.66025,66.3397,83.6603
32,18.2,80,8.94427,71.0557,88.9443
33,21,87,9.32738,77.6726,96.3274
34,23.8,71,8.42615,62.5739,79.4261
35,26.6,57,7.54983,49.4502,64.5498
36,29.4,80,8.94427,71.0557,88.9443
37,32.2,84,9.16515,74.8348,93.1652
38,35,34,5.83095,28.169,39.831
39,37.8,47,6.85565,40.1443,53.8557
40,40.6,64,8,56,72
41,43.4,81,9,72,90
42,46.2,43,6.55744,36.4426,49.5574
43,49,73,8.544,64.456,81.544
44,51.8,60,7.74597,52.254,67.746
45,54.6,55,7.4162,47.5838,62.4162
46,57.4,46,6.78233,39.2177,52.7823
47,60.2,7,2.64575,4.35425,9.64575
48,63,3,1.73205,1.26795,4.73205
49,65.8,1,1,0,2
50,68.6,0,0,0,0
