Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,4,2,2,6
5,-57.4,11,3.31662,7.68338,14.3166
6,-54.6,13,3.60555,9.39445,16.6056
7,-51.8,7,2.64575,4.35425,9.64575
8,-49,12,3.4641,8.5359,15.4641
9,-46.2,10,3.16228,6.83772,13.1623
10,-43.4,10,3.16228,6.83772,13.1623
11,-40.6,15,3.87298,11.127,18.873
12,-37.8,8,2.82843,5.17157,10.8284
13,-35,8,2.82843,5.17157,10.8284
14,-32.2,14,3.74166,10.2583,17.7417
15,-29.4,12,3.4641,8.5359,15.4641
16,-26.6,8,2.82843,5.17157,10.8284
17,-23.8,9,3,6,12
18,-21,8,2.82843,5.17157,10.8284
19,-18.2,9,3,6,12
20,-15.4,15,3.87298,11.127,18.873
21,-12.6,9,3,6,12
22,-9.8,11,3.31662,7.68338,14.3166
23,-7,9,3,6,12
24,-4.2,3,1.73205,1.26795,4.73205
25,-1.4,0,0,0,0
26,1.4,1,1,0,2
27,4.2,8,2.82843,5.17157,10.8284
28,7,11,3.31662,7.68338,14.3166
29,9.8,8,2.82843,5.17157,10.8284
30,12.6,10,3.16228,6.83772,13.1623
31,15.4,9,3,6,12
32,18.2,16,4,12,20
33,21,13,3.60555,9.39445,16.6056
34,23.8,13,3.60555,9.39445,16.6056
35,26.6,8,2.82843,5.17157,10.8284
36,29.4,14,3.74166,10.2583,17.7417
37,32.2,9,3,6,12
38,35,7,2.64575,4.35425,9.64575
39,37.8,12,3.4641,8.5359,15.4641
40,40.6,7,2.64575,4.35425,9.64575
41,43.4,11,3.31662,7.68338,14.3166
42,46.2,8,2.82843,5.17157,10.8284
43,49,6,2.44949,3.55051,8.44949
44,51.8,8,2.82843,5.17157,10.8284
45,54.6,7,2.64575,4.35425,9.64575
46,57.4,4,2,2,6
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
