Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,5,2.23607,2.76393,7.23607
5,-57.4,20,4.47214,15.5279,24.4721
6,-54.6,22,4.69042,17.3096,26.6904
7,-51.8,31,5.56776,25.4322,36.5678
8,-49,30,5.47723,24.5228,35.4772
9,-46.2,21,4.58258,16.4174,25.5826
10,-43.4,19,4.3589,14.6411,23.3589
11,-40.6,29,5.38516,23.6148,34.3852
12,-37.8,29,5.38516,23.6148,34.3852
13,-35,32,5.65685,26.3431,37.6569
14,-32.2,40,6.32456,33.6754,46.3246
15,-29.4,25,5,20,30
16,-26.6,19,4.3589,14.6411,23.3589
17,-23.8,22,4.69042,17.3096,26.6904
18,-21,31,5.56776,25.4322,36.5678
19,-18.2,24,4.89898,19.101,28.899
20,-15.4,16,4,12,20
21,-12.6,16,4,12,20
22,-9.8,18,4.24264,13.7574,22.2426
23,-7,27,5.19615,21.8038,32.1962
24,-4.2,5,2.23607,2.76393,7.23607
25,-1.4,0,0,0,0
26,1.4,2,1.41421,0.585786,3.41421
27,4.2,18,4.24264,13.7574,22.2426
28,7,22,4.69042,17.3096,26.6904
29,9.8,17,4.12311,12.8769,21.1231
30,12.6,29,5.38516,23.6148,34.3852
31,15.4,20,4.47214,15.5279,24.4721
32,18.2,30,5.47723,24.5228,35.4772
33,21,26,5.09902,20.901,31.099
34,23.8,25,5,20,30
35,26.6,33,5.74456,27.2554,38.7446
36,29.4,29,5.38516,23.6148,34.3852
37,32.2,26,5.09902,20.901,31.099
38,35,20,4.47214,15.5279,24.4721
39,37.8,16,4,12,20
40,40.6,18,4.24264,13.7574,22.2426
41,43.4,27,5.19615,21.8038,32.1962
42,46.2,15,3.87298,11.127,18.873
43,49,12,3.4641,8.5359,15.4641
44,51.8,18,4.24264,13.7574,22.2426
45,54.6,10,3.16228,6.83772,13.1623
46,57.4,5,2.23607,2.76393,7.23607
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
