Interaction,Muons,Protons,Pions,Kaons
1,1,0,0,0
2,2,1,0,0
3,1,1,0,0
4,1,0,0,1
5,1,0,0,0
6,1,1,0,0
7,1,0,0,0
8,1,1,0,0
9,1,0,0,0
10,1,0,0,0
11,0,1,2,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,0
15,1,0,0,1
16,2,1,0,0
17,1,0,0,0
18,1,1,0,0
19,2,1,0,0
20,1,0,0,0
21,2,0,1,0
22,1,0,0,0
23,1,1,0,0
24,3,0,0,0
25,3,1,0,0
26,1,0,0,0
27,2,0,0,0
28,1,0,0,0
29,1,0,0,0
30,1,0,0,0
31,1,1,0,0
32,2,0,1,0
33,1,0,0,0
34,1,0,0,0
35,1,0,0,0
36,1,1,0,0
37,1,0,0,0
38,1,0,2,0
39,3,0,0,0
40,1,1,1,0
41,1,0,0,0
42,2,0,0,1
43,1,0,0,0
44,2,2,1,0
45,1,2,1,0
46,1,2,0,0
47,1,1,0,0
48,2,1,0,0
49,1,0,0,0
50,1,1,1,0
51,1,0,0,0
52,1,0,2,0
53,3,1,0,0
54,3,0,1,0
55,1,0,0,0
56,2,1,0,0
57,1,0,0,0
58,1,0,0,0
59,3,0,0,0
60,1,1,0,0
61,1,0,0,0
62,2,0,0,0
63,0,1,2,0
64,4,2,0,0
65,1,0,2,0
66,1,0,0,1
67,1,0,0,0
68,1,1,0,0
69,3,1,0,0
70,1,0,1,0
71,1,0,1,0
72,1,1,0,0
73,1,2,0,0
74,1,0,0,0
75,1,1,0,0
76,1,1,0,0
77,1,0,0,0
78,1,0,1,0
79,1,1,0,0
80,1,0,0,0
81,3,0,0,0
82,1,1,0,0
83,0,0,1,0
84,2,2,0,0
85,1,0,0,0
86,2,0,0,1
87,1,0,0,0
88,1,5,0,2
89,2,0,0,0
90,1,0,0,0
91,1,0,0,0
92,3,0,1,0
93,0,3,2,0
94,1,3,0,0
95,1,0,0,0
96,1,0,0,0
97,1,0,0,0
98,1,0,0,0
99,1,0,0,0
100,3,1,0,0
101,2,3,1,0
102,1,0,0,0
103,1,0,0,0
104,1,0,0,0
105,1,2,0,0
106,1,0,1,0
107,1,0,0,0
108,1,1,0,0
109,1,0,0,0
110,1,1,0,0
111,1,0,0,0
112,2,1,0,1
113,3,2,0,0
114,2,0,0,0
115,2,4,0,1
116,2,0,0,0
117,1,0,0,0
118,1,0,0,0
119,0,1,1,0
120,2,2,0,1
121,1,0,2,0
122,1,1,0,0
123,1,0,0,0
124,2,0,0,0
125,1,0,0,0
126,1,0,0,0
127,1,0,1,0
128,2,0,0,1
129,1,0,0,0
130,4,0,0,1
131,0,1,2,0
132,2,1,0,0
133,1,0,0,0
134,1,0,0,0
135,1,2,0,0
136,1,0,0,0
137,1,0,0,0
138,1,1,0,0
139,1,0,1,0
140,1,0,0,0
141,1,2,0,0
142,0,1,1,1
143,1,0,0,1
144,1,2,0,0
145,3,1,0,0
146,1,0,0,0
147,2,0,0,0
148,1,1,0,0
149,1,0,1,1
150,1,0,0,0
151,1,1,0,0
152,1,1,0,0
153,1,0,1,0
154,0,2,2,0
155,1,2,0,0
156,2,1,0,0
157,0,0,0,1
158,1,1,0,0
159,2,0,0,0
160,1,1,0,0
161,1,1,0,0
162,1,1,0,0
163,1,0,0,0
164,1,0,0,0
165,2,0,0,0
166,1,1,0,0
167,4,0,0,0
168,4,2,0,0
169,1,1,1,0
170,1,0,1,0
171,1,0,0,0
172,3,0,0,0
173,2,1,0,0
174,3,0,0,0
175,3,1,0,0
176,3,2,0,0
177,2,1,0,0
178,3,2,0,0
179,1,0,0,0
180,2,0,0,0
181,1,0,0,0
182,1,0,1,0
183,1,0,0,0
184,1,0,0,0
185,1,2,0,0
186,0,0,0,1
187,1,0,0,0
188,1,0,2,0
189,1,2,1,0
190,2,1,0,0
191,2,0,1,0
192,2,1,0,0
193,1,1,0,0
194,1,0,0,0
195,3,0,1,0
196,1,2,0,0
197,1,0,0,1
198,2,0,0,0
199,1,0,0,1
200,1,0,0,0
201,1,1,0,0
202,1,0,0,0
203,1,0,1,0
204,1,0,1,0
205,2,1,0,0
206,1,0,0,0
207,2,0,0,0
208,1,0,0,0
209,1,0,0,0
210,1,0,0,0
211,1,0,0,0
212,1,0,1,0
213,1,0,0,0
214,1,1,1,0
215,1,1,0,0
216,1,0,0,0
217,0,1,2,0
218,1,0,0,0
219,1,1,0,0
220,3,0,0,0
221,1,0,1,0
222,1,0,1,0
223,2,0,0,0
224,1,0,1,0
