Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,2,1.41421,0.585786,3.41421
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,1,1,0,2
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,0,0,0,0
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,0,0,0,0
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,0,0,0,0
19,-0.63,0,0,0,0
20,-0.61,0,0,0,0
21,-0.59,0,0,0,0
22,-0.57,1,1,0,2
23,-0.55,0,0,0,0
24,-0.53,0,0,0,0
25,-0.51,1,1,0,2
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,0,0,0,0
29,-0.43,0,0,0,0
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,1,1,0,2
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,1,1,0,2
36,-0.29,0,0,0,0
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,0,0,0,0
44,-0.13,0,0,0,0
45,-0.11,0,0,0,0
46,-0.09,1,1,0,2
47,-0.07,0,0,0,0
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,2,1.41421,0.585786,3.41421
52,0.03,0,0,0,0
53,0.05,0,0,0,0
54,0.07,0,0,0,0
55,0.09,0,0,0,0
56,0.11,0,0,0,0
57,0.13,0,0,0,0
58,0.15,0,0,0,0
59,0.17,2,1.41421,0.585786,3.41421
60,0.19,1,1,0,2
61,0.21,2,1.41421,0.585786,3.41421
62,0.23,0,0,0,0
63,0.25,1,1,0,2
64,0.27,1,1,0,2
65,0.29,0,0,0,0
66,0.31,0,0,0,0
67,0.33,1,1,0,2
68,0.35,0,0,0,0
69,0.37,2,1.41421,0.585786,3.41421
70,0.39,0,0,0,0
71,0.41,0,0,0,0
72,0.43,2,1.41421,0.585786,3.41421
73,0.45,0,0,0,0
74,0.47,0,0,0,0
75,0.49,1,1,0,2
76,0.51,0,0,0,0
77,0.53,0,0,0,0
78,0.55,2,1.41421,0.585786,3.41421
79,0.57,0,0,0,0
80,0.59,2,1.41421,0.585786,3.41421
81,0.61,0,0,0,0
82,0.63,2,1.41421,0.585786,3.41421
83,0.65,1,1,0,2
84,0.67,1,1,0,2
85,0.69,2,1.41421,0.585786,3.41421
86,0.71,2,1.41421,0.585786,3.41421
87,0.73,1,1,0,2
88,0.75,0,0,0,0
89,0.77,1,1,0,2
90,0.79,1,1,0,2
91,0.81,3,1.73205,1.26795,4.73205
92,0.83,2,1.41421,0.585786,3.41421
93,0.85,4,2,2,6
94,0.87,1,1,0,2
95,0.89,5,2.23607,2.76393,7.23607
96,0.91,2,1.41421,0.585786,3.41421
97,0.93,10,3.16228,6.83772,13.1623
98,0.95,9,3,6,12
99,0.97,12,3.4641,8.5359,15.4641
100,0.99,28,5.2915,22.7085,33.2915
