Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,2,1.41421,0.585786,3.41421
2,-0.97,1,1,0,2
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,1,1,0,2
6,-0.89,0,0,0,0
7,-0.87,2,1.41421,0.585786,3.41421
8,-0.85,1,1,0,2
9,-0.83,1,1,0,2
10,-0.81,0,0,0,0
11,-0.79,2,1.41421,0.585786,3.41421
12,-0.77,1,1,0,2
13,-0.75,0,0,0,0
14,-0.73,1,1,0,2
15,-0.71,0,0,0,0
16,-0.69,1,1,0,2
17,-0.67,1,1,0,2
18,-0.65,0,0,0,0
19,-0.63,0,0,0,0
20,-0.61,1,1,0,2
21,-0.59,1,1,0,2
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,0,0,0,0
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,2,1.41421,0.585786,3.41421
28,-0.45,1,1,0,2
29,-0.43,1,1,0,2
30,-0.41,1,1,0,2
31,-0.39,1,1,0,2
32,-0.37,1,1,0,2
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,3,1.73205,1.26795,4.73205
36,-0.29,0,0,0,0
37,-0.27,1,1,0,2
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,1,1,0,2
44,-0.13,0,0,0,0
45,-0.11,2,1.41421,0.585786,3.41421
46,-0.09,1,1,0,2
47,-0.07,1,1,0,2
48,-0.05,2,1.41421,0.585786,3.41421
49,-0.03,1,1,0,2
50,-0.01,0,0,0,0
51,0.01,5,2.23607,2.76393,7.23607
52,0.03,0,0,0,0
53,0.05,1,1,0,2
54,0.07,0,0,0,0
55,0.09,1,1,0,2
56,0.11,1,1,0,2
57,0.13,0,0,0,0
58,0.15,3,1.73205,1.26795,4.73205
59,0.17,2,1.41421,0.585786,3.41421
60,0.19,0,0,0,0
61,0.21,4,2,2,6
62,0.23,1,1,0,2
63,0.25,1,1,0,2
64,0.27,3,1.73205,1.26795,4.73205
65,0.29,1,1,0,2
66,0.31,3,1.73205,1.26795,4.73205
67,0.33,5,2.23607,2.76393,7.23607
68,0.35,1,1,0,2
69,0.37,0,0,0,0
70,0.39,1,1,0,2
71,0.41,3,1.73205,1.26795,4.73205
72,0.43,3,1.73205,1.26795,4.73205
73,0.45,3,1.73205,1.26795,4.73205
74,0.47,3,1.73205,1.26795,4.73205
75,0.49,5,2.23607,2.76393,7.23607
76,0.51,3,1.73205,1.26795,4.73205
77,0.53,1,1,0,2
78,0.55,2,1.41421,0.585786,3.41421
79,0.57,10,3.16228,6.83772,13.1623
80,0.59,5,2.23607,2.76393,7.23607
81,0.61,1,1,0,2
82,0.63,7,2.64575,4.35425,9.64575
83,0.65,4,2,2,6
84,0.67,6,2.44949,3.55051,8.44949
85,0.69,5,2.23607,2.76393,7.23607
86,0.71,4,2,2,6
87,0.73,4,2,2,6
88,0.75,8,2.82843,5.17157,10.8284
89,0.77,11,3.31662,7.68338,14.3166
90,0.79,12,3.4641,8.5359,15.4641
91,0.81,13,3.60555,9.39445,16.6056
92,0.83,11,3.31662,7.68338,14.3166
93,0.85,17,4.12311,12.8769,21.1231
94,0.87,12,3.4641,8.5359,15.4641
95,0.89,23,4.79583,18.2042,27.7958
96,0.91,29,5.38516,23.6148,34.3852
97,0.93,48,6.9282,41.0718,54.9282
98,0.95,78,8.83176,69.1682,86.8318
99,0.97,206,14.3527,191.647,220.353
100,0.99,653,25.5539,627.446,678.554
