Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,2,1.41421,0.585786,3.41421
3,-0.95,1,1,0,2
4,-0.93,1,1,0,2
5,-0.91,0,0,0,0
6,-0.89,3,1.73205,1.26795,4.73205
7,-0.87,1,1,0,2
8,-0.85,1,1,0,2
9,-0.83,1,1,0,2
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,1,1,0,2
14,-0.73,1,1,0,2
15,-0.71,1,1,0,2
16,-0.69,1,1,0,2
17,-0.67,0,0,0,0
18,-0.65,2,1.41421,0.585786,3.41421
19,-0.63,3,1.73205,1.26795,4.73205
20,-0.61,1,1,0,2
21,-0.59,2,1.41421,0.585786,3.41421
22,-0.57,0,0,0,0
23,-0.55,1,1,0,2
24,-0.53,1,1,0,2
25,-0.51,4,2,2,6
26,-0.49,0,0,0,0
27,-0.47,1,1,0,2
28,-0.45,1,1,0,2
29,-0.43,1,1,0,2
30,-0.41,6,2.44949,3.55051,8.44949
31,-0.39,2,1.41421,0.585786,3.41421
32,-0.37,1,1,0,2
33,-0.35,1,1,0,2
34,-0.33,3,1.73205,1.26795,4.73205
35,-0.31,2,1.41421,0.585786,3.41421
36,-0.29,1,1,0,2
37,-0.27,3,1.73205,1.26795,4.73205
38,-0.25,1,1,0,2
39,-0.23,0,0,0,0
40,-0.21,4,2,2,6
41,-0.19,3,1.73205,1.26795,4.73205
42,-0.17,0,0,0,0
43,-0.15,3,1.73205,1.26795,4.73205
44,-0.13,1,1,0,2
45,-0.11,1,1,0,2
46,-0.09,1,1,0,2
47,-0.07,1,1,0,2
48,-0.05,1,1,0,2
49,-0.03,2,1.41421,0.585786,3.41421
50,-0.01,0,0,0,0
51,0.01,4,2,2,6
52,0.03,1,1,0,2
53,0.05,3,1.73205,1.26795,4.73205
54,0.07,3,1.73205,1.26795,4.73205
55,0.09,1,1,0,2
56,0.11,2,1.41421,0.585786,3.41421
57,0.13,3,1.73205,1.26795,4.73205
58,0.15,1,1,0,2
59,0.17,4,2,2,6
60,0.19,7,2.64575,4.35425,9.64575
61,0.21,2,1.41421,0.585786,3.41421
62,0.23,5,2.23607,2.76393,7.23607
63,0.25,3,1.73205,1.26795,4.73205
64,0.27,4,2,2,6
65,0.29,5,2.23607,2.76393,7.23607
66,0.31,3,1.73205,1.26795,4.73205
67,0.33,4,2,2,6
68,0.35,3,1.73205,1.26795,4.73205
69,0.37,6,2.44949,3.55051,8.44949
70,0.39,5,2.23607,2.76393,7.23607
71,0.41,6,2.44949,3.55051,8.44949
72,0.43,0,0,0,0
73,0.45,6,2.44949,3.55051,8.44949
74,0.47,8,2.82843,5.17157,10.8284
75,0.49,9,3,6,12
76,0.51,7,2.64575,4.35425,9.64575
77,0.53,4,2,2,6
78,0.55,3,1.73205,1.26795,4.73205
79,0.57,4,2,2,6
80,0.59,7,2.64575,4.35425,9.64575
81,0.61,8,2.82843,5.17157,10.8284
82,0.63,8,2.82843,5.17157,10.8284
83,0.65,7,2.64575,4.35425,9.64575
84,0.67,7,2.64575,4.35425,9.64575
85,0.69,9,3,6,12
86,0.71,10,3.16228,6.83772,13.1623
87,0.73,3,1.73205,1.26795,4.73205
88,0.75,9,3,6,12
89,0.77,7,2.64575,4.35425,9.64575
90,0.79,7,2.64575,4.35425,9.64575
91,0.81,7,2.64575,4.35425,9.64575
92,0.83,12,3.4641,8.5359,15.4641
93,0.85,12,3.4641,8.5359,15.4641
94,0.87,19,4.3589,14.6411,23.3589
95,0.89,14,3.74166,10.2583,17.7417
96,0.91,11,3.31662,7.68338,14.3166
97,0.93,23,4.79583,18.2042,27.7958
98,0.95,20,4.47214,15.5279,24.4721
99,0.97,18,4.24264,13.7574,22.2426
100,0.99,31,5.56776,25.4322,36.5678
