Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,2,1.41421,0.585786,3.41421
2,0.03,19,4.3589,14.6411,23.3589
3,0.05,39,6.245,32.755,45.245
4,0.07,41,6.40312,34.5969,47.4031
5,0.09,62,7.87401,54.126,69.874
6,0.11,70,8.3666,61.6334,78.3666
7,0.13,93,9.64365,83.3563,102.644
8,0.15,120,10.9545,109.046,130.954
9,0.17,84,9.16515,74.8348,93.1652
10,0.19,90,9.48683,80.5132,99.4868
11,0.21,90,9.48683,80.5132,99.4868
12,0.23,90,9.48683,80.5132,99.4868
13,0.25,97,9.84886,87.1511,106.849
14,0.27,72,8.48528,63.5147,80.4853
15,0.29,83,9.11043,73.8896,92.1104
16,0.31,53,7.28011,45.7199,60.2801
17,0.33,27,5.19615,21.8038,32.1962
18,0.35,18,4.24264,13.7574,22.2426
19,0.37,3,1.73205,1.26795,4.73205
20,0.39,8,2.82843,5.17157,10.8284
21,0.41,8,2.82843,5.17157,10.8284
22,0.43,6,2.44949,3.55051,8.44949
23,0.45,5,2.23607,2.76393,7.23607
24,0.47,0,0,0,0
25,0.49,5,2.23607,2.76393,7.23607
26,0.51,4,2,2,6
27,0.53,3,1.73205,1.26795,4.73205
28,0.55,1,1,0,2
29,0.57,0,0,0,0
30,0.59,1,1,0,2
31,0.61,2,1.41421,0.585786,3.41421
32,0.63,2,1.41421,0.585786,3.41421
33,0.65,1,1,0,2
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,1,1,0,2
38,0.75,0,0,0,0
39,0.77,1,1,0,2
40,0.79,0,0,0,0
41,0.81,0,0,0,0
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,1,1,0,2
46,0.91,1,1,0,2
47,0.93,0,0,0,0
48,0.95,1,1,0,2
49,0.97,0,0,0,0
50,0.99,0,0,0,0
