Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,21,4.58258,16.4174,25.5826
3,0.05,32,5.65685,26.3431,37.6569
4,0.07,25,5,20,30
5,0.09,24,4.89898,19.101,28.899
6,0.11,29,5.38516,23.6148,34.3852
7,0.13,24,4.89898,19.101,28.899
8,0.15,16,4,12,20
9,0.17,13,3.60555,9.39445,16.6056
10,0.19,8,2.82843,5.17157,10.8284
11,0.21,6,2.44949,3.55051,8.44949
12,0.23,2,1.41421,0.585786,3.41421
13,0.25,4,2,2,6
14,0.27,2,1.41421,0.585786,3.41421
15,0.29,1,1,0,2
16,0.31,1,1,0,2
17,0.33,0,0,0,0
18,0.35,0,0,0,0
19,0.37,0,0,0,0
20,0.39,1,1,0,2
21,0.41,0,0,0,0
22,0.43,0,0,0,0
23,0.45,0,0,0,0
24,0.47,0,0,0,0
25,0.49,0,0,0,0
26,0.51,0,0,0,0
27,0.53,0,0,0,0
28,0.55,0,0,0,0
29,0.57,0,0,0,0
30,0.59,0,0,0,0
31,0.61,0,0,0,0
32,0.63,0,0,0,0
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,0,0,0,0
40,0.79,0,0,0,0
41,0.81,0,0,0,0
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,0,0,0,0
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,0,0,0,0
