Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,0,0,0,0
3,0.05,46,6.78233,39.2177,52.7823
4,0.07,49,7,42,56
5,0.09,46,6.78233,39.2177,52.7823
6,0.11,38,6.16441,31.8356,44.1644
7,0.13,37,6.08276,30.9172,43.0828
8,0.15,29,5.38516,23.6148,34.3852
9,0.17,35,5.91608,29.0839,40.9161
10,0.19,28,5.2915,22.7085,33.2915
11,0.21,16,4,12,20
12,0.23,21,4.58258,16.4174,25.5826
13,0.25,15,3.87298,11.127,18.873
14,0.27,12,3.4641,8.5359,15.4641
15,0.29,8,2.82843,5.17157,10.8284
16,0.31,10,3.16228,6.83772,13.1623
17,0.33,7,2.64575,4.35425,9.64575
18,0.35,10,3.16228,6.83772,13.1623
19,0.37,9,3,6,12
20,0.39,2,1.41421,0.585786,3.41421
21,0.41,2,1.41421,0.585786,3.41421
22,0.43,1,1,0,2
23,0.45,1,1,0,2
24,0.47,2,1.41421,0.585786,3.41421
25,0.49,1,1,0,2
26,0.51,1,1,0,2
27,0.53,0,0,0,0
28,0.55,0,0,0,0
29,0.57,0,0,0,0
30,0.59,0,0,0,0
31,0.61,1,1,0,2
32,0.63,0,0,0,0
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,0,0,0,0
40,0.79,0,0,0,0
41,0.81,0,0,0,0
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,0,0,0,0
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,0,0,0,0
