Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,10,3.16228,6.83772,13.1623
3,5,4,2,2,6
4,7,3,1.73205,1.26795,4.73205
5,9,4,2,2,6
6,11,7,2.64575,4.35425,9.64575
7,13,3,1.73205,1.26795,4.73205
8,15,4,2,2,6
9,17,6,2.44949,3.55051,8.44949
10,19,2,1.41421,0.585786,3.41421
11,21,6,2.44949,3.55051,8.44949
12,23,7,2.64575,4.35425,9.64575
13,25,6,2.44949,3.55051,8.44949
14,27,4,2,2,6
15,29,4,2,2,6
16,31,2,1.41421,0.585786,3.41421
17,33,1,1,0,2
18,35,0,0,0,0
19,37,6,2.44949,3.55051,8.44949
20,39,2,1.41421,0.585786,3.41421
21,41,0,0,0,0
22,43,3,1.73205,1.26795,4.73205
23,45,5,2.23607,2.76393,7.23607
24,47,0,0,0,0
25,49,4,2,2,6
26,51,1,1,0,2
27,53,1,1,0,2
28,55,2,1.41421,0.585786,3.41421
29,57,0,0,0,0
30,59,0,0,0,0
31,61,0,0,0,0
32,63,1,1,0,2
33,65,2,1.41421,0.585786,3.41421
34,67,0,0,0,0
35,69,0,0,0,0
36,71,0,0,0,0
37,73,0,0,0,0
38,75,1,1,0,2
39,77,4,2,2,6
40,79,0,0,0,0
41,81,1,1,0,2
42,83,0,0,0,0
43,85,2,1.41421,0.585786,3.41421
44,87,0,0,0,0
45,89,0,0,0,0
46,91,1,1,0,2
47,93,0,0,0,0
48,95,0,0,0,0
49,97,1,1,0,2
50,99,0,0,0,0
