Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,10,3.16228,6.83772,13.1623
3,5,14,3.74166,10.2583,17.7417
4,7,11,3.31662,7.68338,14.3166
5,9,33,5.74456,27.2554,38.7446
6,11,33,5.74456,27.2554,38.7446
7,13,31,5.56776,25.4322,36.5678
8,15,28,5.2915,22.7085,33.2915
9,17,34,5.83095,28.169,39.831
10,19,22,4.69042,17.3096,26.6904
11,21,25,5,20,30
12,23,22,4.69042,17.3096,26.6904
13,25,17,4.12311,12.8769,21.1231
14,27,15,3.87298,11.127,18.873
15,29,29,5.38516,23.6148,34.3852
16,31,22,4.69042,17.3096,26.6904
17,33,27,5.19615,21.8038,32.1962
18,35,28,5.2915,22.7085,33.2915
19,37,29,5.38516,23.6148,34.3852
20,39,21,4.58258,16.4174,25.5826
21,41,36,6,30,42
22,43,29,5.38516,23.6148,34.3852
23,45,37,6.08276,30.9172,43.0828
24,47,17,4.12311,12.8769,21.1231
25,49,32,5.65685,26.3431,37.6569
26,51,31,5.56776,25.4322,36.5678
27,53,23,4.79583,18.2042,27.7958
28,55,28,5.2915,22.7085,33.2915
29,57,27,5.19615,21.8038,32.1962
30,59,26,5.09902,20.901,31.099
31,61,10,3.16228,6.83772,13.1623
32,63,5,2.23607,2.76393,7.23607
33,65,3,1.73205,1.26795,4.73205
34,67,4,2,2,6
35,69,3,1.73205,1.26795,4.73205
36,71,15,3.87298,11.127,18.873
37,73,16,4,12,20
38,75,12,3.4641,8.5359,15.4641
39,77,19,4.3589,14.6411,23.3589
40,79,18,4.24264,13.7574,22.2426
41,81,15,3.87298,11.127,18.873
42,83,21,4.58258,16.4174,25.5826
43,85,22,4.69042,17.3096,26.6904
44,87,11,3.31662,7.68338,14.3166
45,89,20,4.47214,15.5279,24.4721
46,91,22,4.69042,17.3096,26.6904
47,93,10,3.16228,6.83772,13.1623
48,95,19,4.3589,14.6411,23.3589
49,97,21,4.58258,16.4174,25.5826
50,99,16,4,12,20
