Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,0,0,0,0
6,-54.6,0,0,0,0
7,-51.8,0,0,0,0
8,-49,0,0,0,0
9,-46.2,0,0,0,0
10,-43.4,0,0,0,0
11,-40.6,68,8.24621,59.7538,76.2462
12,-37.8,237,15.3948,221.605,252.395
13,-35,266,16.3095,249.69,282.31
14,-32.2,295,17.1756,277.824,312.176
15,-29.4,41,6.40312,34.5969,47.4031
16,-26.6,0,0,0,0
17,-23.8,0,0,0,0
18,-21,0,0,0,0
19,-18.2,0,0,0,0
20,-15.4,0,0,0,0
21,-12.6,0,0,0,0
22,-9.8,0,0,0,0
23,-7,0,0,0,0
24,-4.2,0,0,0,0
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,0,0,0,0
28,7,0,0,0,0
29,9.8,0,0,0,0
30,12.6,0,0,0,0
31,15.4,0,0,0,0
32,18.2,0,0,0,0
33,21,0,0,0,0
34,23.8,0,0,0,0
35,26.6,0,0,0,0
36,29.4,0,0,0,0
37,32.2,0,0,0,0
38,35,0,0,0,0
39,37.8,0,0,0,0
40,40.6,0,0,0,0
41,43.4,0,0,0,0
42,46.2,0,0,0,0
43,49,0,0,0,0
44,51.8,0,0,0,0
45,54.6,0,0,0,0
46,57.4,0,0,0,0
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
