Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,1,1,0,2
6,-54.6,21,4.58258,16.4174,25.5826
7,-51.8,20,4.47214,15.5279,24.4721
8,-49,22,4.69042,17.3096,26.6904
9,-46.2,27,5.19615,21.8038,32.1962
10,-43.4,21,4.58258,16.4174,25.5826
11,-40.6,22,4.69042,17.3096,26.6904
12,-37.8,21,4.58258,16.4174,25.5826
13,-35,27,5.19615,21.8038,32.1962
14,-32.2,19,4.3589,14.6411,23.3589
15,-29.4,29,5.38516,23.6148,34.3852
16,-26.6,18,4.24264,13.7574,22.2426
17,-23.8,23,4.79583,18.2042,27.7958
18,-21,26,5.09902,20.901,31.099
19,-18.2,13,3.60555,9.39445,16.6056
20,-15.4,25,5,20,30
21,-12.6,18,4.24264,13.7574,22.2426
22,-9.8,29,5.38516,23.6148,34.3852
23,-7,22,4.69042,17.3096,26.6904
24,-4.2,23,4.79583,18.2042,27.7958
25,-1.4,32,5.65685,26.3431,37.6569
26,1.4,30,5.47723,24.5228,35.4772
27,4.2,30,5.47723,24.5228,35.4772
28,7,22,4.69042,17.3096,26.6904
29,9.8,23,4.79583,18.2042,27.7958
30,12.6,23,4.79583,18.2042,27.7958
31,15.4,16,4,12,20
32,18.2,23,4.79583,18.2042,27.7958
33,21,23,4.79583,18.2042,27.7958
34,23.8,22,4.69042,17.3096,26.6904
35,26.6,23,4.79583,18.2042,27.7958
36,29.4,14,3.74166,10.2583,17.7417
37,32.2,25,5,20,30
38,35,19,4.3589,14.6411,23.3589
39,37.8,18,4.24264,13.7574,22.2426
40,40.6,21,4.58258,16.4174,25.5826
41,43.4,20,4.47214,15.5279,24.4721
42,46.2,20,4.47214,15.5279,24.4721
43,49,29,5.38516,23.6148,34.3852
44,51.8,16,4,12,20
45,54.6,24,4.89898,19.101,28.899
46,57.4,7,2.64575,4.35425,9.64575
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
