Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,2,1.41421,0.585786,3.41421
5,-57.4,25,5,20,30
6,-54.6,31,5.56776,25.4322,36.5678
7,-51.8,30,5.47723,24.5228,35.4772
8,-49,17,4.12311,12.8769,21.1231
9,-46.2,20,4.47214,15.5279,24.4721
10,-43.4,30,5.47723,24.5228,35.4772
11,-40.6,27,5.19615,21.8038,32.1962
12,-37.8,20,4.47214,15.5279,24.4721
13,-35,29,5.38516,23.6148,34.3852
14,-32.2,26,5.09902,20.901,31.099
15,-29.4,17,4.12311,12.8769,21.1231
16,-26.6,20,4.47214,15.5279,24.4721
17,-23.8,25,5,20,30
18,-21,24,4.89898,19.101,28.899
19,-18.2,28,5.2915,22.7085,33.2915
20,-15.4,20,4.47214,15.5279,24.4721
21,-12.6,25,5,20,30
22,-9.8,18,4.24264,13.7574,22.2426
23,-7,25,5,20,30
24,-4.2,1,1,0,2
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,9,3,6,12
28,7,29,5.38516,23.6148,34.3852
29,9.8,26,5.09902,20.901,31.099
30,12.6,26,5.09902,20.901,31.099
31,15.4,27,5.19615,21.8038,32.1962
32,18.2,27,5.19615,21.8038,32.1962
33,21,30,5.47723,24.5228,35.4772
34,23.8,27,5.19615,21.8038,32.1962
35,26.6,20,4.47214,15.5279,24.4721
36,29.4,26,5.09902,20.901,31.099
37,32.2,30,5.47723,24.5228,35.4772
38,35,12,3.4641,8.5359,15.4641
39,37.8,19,4.3589,14.6411,23.3589
40,40.6,17,4.12311,12.8769,21.1231
41,43.4,26,5.09902,20.901,31.099
42,46.2,16,4,12,20
43,49,20,4.47214,15.5279,24.4721
44,51.8,29,5.38516,23.6148,34.3852
45,54.6,14,3.74166,10.2583,17.7417
46,57.4,16,4,12,20
47,60.2,1,1,0,2
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
