Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,2,1.41421,0.585786,3.41421
6,-54.6,0,0,0,0
7,-51.8,0,0,0,0
8,-49,0,0,0,0
9,-46.2,1,1,0,2
10,-43.4,3,1.73205,1.26795,4.73205
11,-40.6,111,10.5357,100.464,121.536
12,-37.8,330,18.1659,311.834,348.166
13,-35,356,18.868,337.132,374.868
14,-32.2,398,19.9499,378.05,417.95
15,-29.4,57,7.54983,49.4502,64.5498
16,-26.6,0,0,0,0
17,-23.8,0,0,0,0
18,-21,0,0,0,0
19,-18.2,2,1.41421,0.585786,3.41421
20,-15.4,0,0,0,0
21,-12.6,0,0,0,0
22,-9.8,0,0,0,0
23,-7,0,0,0,0
24,-4.2,0,0,0,0
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,0,0,0,0
28,7,0,0,0,0
29,9.8,1,1,0,2
30,12.6,0,0,0,0
31,15.4,0,0,0,0
32,18.2,0,0,0,0
33,21,0,0,0,0
34,23.8,0,0,0,0
35,26.6,0,0,0,0
36,29.4,0,0,0,0
37,32.2,0,0,0,0
38,35,0,0,0,0
39,37.8,0,0,0,0
40,40.6,0,0,0,0
41,43.4,0,0,0,0
42,46.2,0,0,0,0
43,49,0,0,0,0
44,51.8,0,0,0,0
45,54.6,0,0,0,0
46,57.4,0,0,0,0
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
