Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,4,2,2,6
6,-54.6,30,5.47723,24.5228,35.4772
7,-51.8,30,5.47723,24.5228,35.4772
8,-49,30,5.47723,24.5228,35.4772
9,-46.2,40,6.32456,33.6754,46.3246
10,-43.4,36,6,30,42
11,-40.6,33,5.74456,27.2554,38.7446
12,-37.8,25,5,20,30
13,-35,34,5.83095,28.169,39.831
14,-32.2,28,5.2915,22.7085,33.2915
15,-29.4,32,5.65685,26.3431,37.6569
16,-26.6,26,5.09902,20.901,31.099
17,-23.8,35,5.91608,29.0839,40.9161
18,-21,33,5.74456,27.2554,38.7446
19,-18.2,20,4.47214,15.5279,24.4721
20,-15.4,37,6.08276,30.9172,43.0828
21,-12.6,29,5.38516,23.6148,34.3852
22,-9.8,41,6.40312,34.5969,47.4031
23,-7,32,5.65685,26.3431,37.6569
24,-4.2,39,6.245,32.755,45.245
25,-1.4,46,6.78233,39.2177,52.7823
26,1.4,37,6.08276,30.9172,43.0828
27,4.2,45,6.7082,38.2918,51.7082
28,7,27,5.19615,21.8038,32.1962
29,9.8,35,5.91608,29.0839,40.9161
30,12.6,26,5.09902,20.901,31.099
31,15.4,21,4.58258,16.4174,25.5826
32,18.2,28,5.2915,22.7085,33.2915
33,21,35,5.91608,29.0839,40.9161
34,23.8,27,5.19615,21.8038,32.1962
35,26.6,28,5.2915,22.7085,33.2915
36,29.4,22,4.69042,17.3096,26.6904
37,32.2,32,5.65685,26.3431,37.6569
38,35,24,4.89898,19.101,28.899
39,37.8,26,5.09902,20.901,31.099
40,40.6,31,5.56776,25.4322,36.5678
41,43.4,25,5,20,30
42,46.2,25,5,20,30
43,49,45,6.7082,38.2918,51.7082
44,51.8,24,4.89898,19.101,28.899
45,54.6,30,5.47723,24.5228,35.4772
46,57.4,8,2.82843,5.17157,10.8284
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
