Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,1,1,0,2
6,-54.6,12,3.4641,8.5359,15.4641
7,-51.8,7,2.64575,4.35425,9.64575
8,-49,14,3.74166,10.2583,17.7417
9,-46.2,12,3.4641,8.5359,15.4641
10,-43.4,13,3.60555,9.39445,16.6056
11,-40.6,11,3.31662,7.68338,14.3166
12,-37.8,8,2.82843,5.17157,10.8284
13,-35,17,4.12311,12.8769,21.1231
14,-32.2,11,3.31662,7.68338,14.3166
15,-29.4,16,4,12,20
16,-26.6,10,3.16228,6.83772,13.1623
17,-23.8,15,3.87298,11.127,18.873
18,-21,12,3.4641,8.5359,15.4641
19,-18.2,7,2.64575,4.35425,9.64575
20,-15.4,5,2.23607,2.76393,7.23607
21,-12.6,9,3,6,12
22,-9.8,11,3.31662,7.68338,14.3166
23,-7,11,3.31662,7.68338,14.3166
24,-4.2,10,3.16228,6.83772,13.1623
25,-1.4,14,3.74166,10.2583,17.7417
26,1.4,10,3.16228,6.83772,13.1623
27,4.2,20,4.47214,15.5279,24.4721
28,7,8,2.82843,5.17157,10.8284
29,9.8,14,3.74166,10.2583,17.7417
30,12.6,10,3.16228,6.83772,13.1623
31,15.4,9,3,6,12
32,18.2,21,4.58258,16.4174,25.5826
33,21,5,2.23607,2.76393,7.23607
34,23.8,6,2.44949,3.55051,8.44949
35,26.6,9,3,6,12
36,29.4,3,1.73205,1.26795,4.73205
37,32.2,12,3.4641,8.5359,15.4641
38,35,5,2.23607,2.76393,7.23607
39,37.8,13,3.60555,9.39445,16.6056
40,40.6,9,3,6,12
41,43.4,10,3.16228,6.83772,13.1623
42,46.2,11,3.31662,7.68338,14.3166
43,49,10,3.16228,6.83772,13.1623
44,51.8,7,2.64575,4.35425,9.64575
45,54.6,10,3.16228,6.83772,13.1623
46,57.4,5,2.23607,2.76393,7.23607
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
