Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,3,1.73205,1.26795,4.73205
3,-63,0,0,0,0
4,-60.2,2,1.41421,0.585786,3.41421
5,-57.4,36,6,30,42
6,-54.6,36,6,30,42
7,-51.8,38,6.16441,31.8356,44.1644
8,-49,26,5.09902,20.901,31.099
9,-46.2,25,5,20,30
10,-43.4,36,6,30,42
11,-40.6,35,5.91608,29.0839,40.9161
12,-37.8,32,5.65685,26.3431,37.6569
13,-35,33,5.74456,27.2554,38.7446
14,-32.2,36,6,30,42
15,-29.4,23,4.79583,18.2042,27.7958
16,-26.6,26,5.09902,20.901,31.099
17,-23.8,28,5.2915,22.7085,33.2915
18,-21,34,5.83095,28.169,39.831
19,-18.2,30,5.47723,24.5228,35.4772
20,-15.4,26,5.09902,20.901,31.099
21,-12.6,34,5.83095,28.169,39.831
22,-9.8,29,5.38516,23.6148,34.3852
23,-7,32,5.65685,26.3431,37.6569
24,-4.2,3,1.73205,1.26795,4.73205
25,-1.4,0,0,0,0
26,1.4,6,2.44949,3.55051,8.44949
27,4.2,9,3,6,12
28,7,42,6.48074,35.5193,48.4807
29,9.8,34,5.83095,28.169,39.831
30,12.6,36,6,30,42
31,15.4,46,6.78233,39.2177,52.7823
32,18.2,36,6,30,42
33,21,47,6.85565,40.1443,53.8557
34,23.8,38,6.16441,31.8356,44.1644
35,26.6,21,4.58258,16.4174,25.5826
36,29.4,39,6.245,32.755,45.245
37,32.2,43,6.55744,36.4426,49.5574
38,35,13,3.60555,9.39445,16.6056
39,37.8,18,4.24264,13.7574,22.2426
40,40.6,29,5.38516,23.6148,34.3852
41,43.4,33,5.74456,27.2554,38.7446
42,46.2,22,4.69042,17.3096,26.6904
43,49,42,6.48074,35.5193,48.4807
44,51.8,38,6.16441,31.8356,44.1644
45,54.6,36,6,30,42
46,57.4,27,5.19615,21.8038,32.1962
47,60.2,2,1.41421,0.585786,3.41421
48,63,1,1,0,2
49,65.8,0,0,0,0
50,68.6,0,0,0,0
