Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,2,1.41421,0.585786,3.41421
5,-57.4,7,2.64575,4.35425,9.64575
6,-54.6,8,2.82843,5.17157,10.8284
7,-51.8,5,2.23607,2.76393,7.23607
8,-49,3,1.73205,1.26795,4.73205
9,-46.2,5,2.23607,2.76393,7.23607
10,-43.4,4,2,2,6
11,-40.6,6,2.44949,3.55051,8.44949
12,-37.8,5,2.23607,2.76393,7.23607
13,-35,3,1.73205,1.26795,4.73205
14,-32.2,6,2.44949,3.55051,8.44949
15,-29.4,4,2,2,6
16,-26.6,4,2,2,6
17,-23.8,5,2.23607,2.76393,7.23607
18,-21,5,2.23607,2.76393,7.23607
19,-18.2,5,2.23607,2.76393,7.23607
20,-15.4,6,2.44949,3.55051,8.44949
21,-12.6,6,2.44949,3.55051,8.44949
22,-9.8,7,2.64575,4.35425,9.64575
23,-7,7,2.64575,4.35425,9.64575
24,-4.2,2,1.41421,0.585786,3.41421
25,-1.4,0,0,0,0
26,1.4,1,1,0,2
27,4.2,4,2,2,6
28,7,5,2.23607,2.76393,7.23607
29,9.8,7,2.64575,4.35425,9.64575
30,12.6,6,2.44949,3.55051,8.44949
31,15.4,5,2.23607,2.76393,7.23607
32,18.2,6,2.44949,3.55051,8.44949
33,21,7,2.64575,4.35425,9.64575
34,23.8,5,2.23607,2.76393,7.23607
35,26.6,3,1.73205,1.26795,4.73205
36,29.4,8,2.82843,5.17157,10.8284
37,32.2,7,2.64575,4.35425,9.64575
38,35,4,2,2,6
39,37.8,9,3,6,12
40,40.6,5,2.23607,2.76393,7.23607
41,43.4,7,2.64575,4.35425,9.64575
42,46.2,5,2.23607,2.76393,7.23607
43,49,3,1.73205,1.26795,4.73205
44,51.8,6,2.44949,3.55051,8.44949
45,54.6,5,2.23607,2.76393,7.23607
46,57.4,1,1,0,2
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
