Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,1,1,0,2
5,-57.4,10,3.16228,6.83772,13.1623
6,-54.6,9,3,6,12
7,-51.8,19,4.3589,14.6411,23.3589
8,-49,12,3.4641,8.5359,15.4641
9,-46.2,9,3,6,12
10,-43.4,11,3.31662,7.68338,14.3166
11,-40.6,20,4.47214,15.5279,24.4721
12,-37.8,9,3,6,12
13,-35,14,3.74166,10.2583,17.7417
14,-32.2,21,4.58258,16.4174,25.5826
15,-29.4,11,3.31662,7.68338,14.3166
16,-26.6,7,2.64575,4.35425,9.64575
17,-23.8,11,3.31662,7.68338,14.3166
18,-21,16,4,12,20
19,-18.2,9,3,6,12
20,-15.4,3,1.73205,1.26795,4.73205
21,-12.6,10,3.16228,6.83772,13.1623
22,-9.8,7,2.64575,4.35425,9.64575
23,-7,12,3.4641,8.5359,15.4641
24,-4.2,3,1.73205,1.26795,4.73205
25,-1.4,0,0,0,0
26,1.4,2,1.41421,0.585786,3.41421
27,4.2,9,3,6,12
28,7,9,3,6,12
29,9.8,9,3,6,12
30,12.6,15,3.87298,11.127,18.873
31,15.4,10,3.16228,6.83772,13.1623
32,18.2,11,3.31662,7.68338,14.3166
33,21,13,3.60555,9.39445,16.6056
34,23.8,13,3.60555,9.39445,16.6056
35,26.6,14,3.74166,10.2583,17.7417
36,29.4,17,4.12311,12.8769,21.1231
37,32.2,15,3.87298,11.127,18.873
38,35,10,3.16228,6.83772,13.1623
39,37.8,8,2.82843,5.17157,10.8284
40,40.6,7,2.64575,4.35425,9.64575
41,43.4,15,3.87298,11.127,18.873
42,46.2,9,3,6,12
43,49,5,2.23607,2.76393,7.23607
44,51.8,13,3.60555,9.39445,16.6056
45,54.6,4,2,2,6
46,57.4,1,1,0,2
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
