histogram,entries,mean,std_dev
reco_mult_prim_total,907.00,2.17,1.20
reco_mult_prim_shower,348.00,2.34,1.64
reco_mult_muon,867.00,1.41,0.71
reco_mult_pion,183.00,1.13,0.34
reco_mult_proton,340.00,1.25,0.56
reco_mult_kaon,95.00,1.18,0.43
reco_length_prim_muon,1261.00,46.60,27.18
reco_length_prim_pion,214.00,27.53,19.55
reco_length_prim_proton,433.00,20.23,18.92
reco_length_prim_kaon,114.00,29.59,22.68
reco_energy_prim_muon,1261.00,0.20,0.10
reco_energy_prim_pion,214.00,0.11,0.06
reco_energy_prim_proton,433.00,0.16,0.10
reco_energy_prim_kaon,114.00,0.17,0.09
reco_cosTheta_prim_muon,1261.00,0.88,0.29
reco_cosTheta_prim_pion,214.00,0.66,0.43
reco_cosTheta_prim_proton,433.00,0.50,0.49
reco_cosTheta_prim_kaon,114.00,0.71,0.44
reco_start_x_muon,1261.00,-35.03,3.26
reco_start_y_muon,1261.00,-1.09,32.24
reco_start_z_muon,1261.00,0.07,35.47
reco_start_x_pion,214.00,-34.95,2.85
reco_start_y_pion,214.00,-0.36,32.80
reco_start_z_pion,214.00,-0.65,34.52
reco_start_x_proton,433.00,-35.41,3.06
reco_start_y_proton,433.00,-2.09,32.28
reco_start_z_proton,433.00,-3.82,34.09
reco_start_x_kaon,114.00,-35.53,2.91
reco_start_y_kaon,114.00,-4.16,32.11
reco_start_z_kaon,114.00,-5.98,33.92
reco_nu_vtx_x_CC_LArFV,907.00,-34.95,2.68
reco_nu_vtx_y_CC_LArFV,907.00,-0.28,32.14
reco_nu_vtx_z_CC_LArFV,907.00,-2.22,34.94
true_nu_vtx_x_CC_LArFV,13278.00,-0.62,35.66
true_nu_vtx_y_CC_LArFV,13278.00,-0.80,32.70
true_nu_vtx_z_CC_LArFV,13278.00,-0.25,35.65
