Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,20,4.47214,15.5279,24.4721
2,1.5,2112,45.9565,2066.04,2157.96
3,2.5,2923,54.0648,2868.94,2977.06
4,3.5,2660,51.5752,2608.42,2711.58
5,4.5,1921,43.8292,1877.17,1964.83
6,5.5,1122,33.4963,1088.5,1155.5
7,6.5,685,26.1725,658.827,711.173
8,7.5,518,22.7596,495.24,540.76
9,8.5,322,17.9444,304.056,339.944
10,9.5,265,16.2788,248.721,281.279
11,10.5,178,13.3417,164.658,191.342
12,11.5,156,12.49,143.51,168.49
13,12.5,106,10.2956,95.7044,116.296
14,13.5,88,9.38083,78.6192,97.3808
15,14.5,56,7.48331,48.5167,63.4833
16,15.5,45,6.7082,38.2918,51.7082
17,16.5,32,5.65685,26.3431,37.6569
18,17.5,28,5.2915,22.7085,33.2915
19,18.5,16,4,12,20
20,19.5,12,3.4641,8.5359,15.4641
