Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,17,4.12311,12.8769,21.1231
5,-57.4,370,19.2354,350.765,389.235
6,-54.6,351,18.735,332.265,369.735
7,-51.8,349,18.6815,330.318,367.682
8,-49,340,18.4391,321.561,358.439
9,-46.2,369,19.2094,349.791,388.209
10,-43.4,343,18.5203,324.48,361.52
11,-40.6,362,19.0263,342.974,381.026
12,-37.8,360,18.9737,341.026,378.974
13,-35,351,18.735,332.265,369.735
14,-32.2,335,18.303,316.697,353.303
15,-29.4,335,18.303,316.697,353.303
16,-26.6,354,18.8149,335.185,372.815
17,-23.8,364,19.0788,344.921,383.079
18,-21,336,18.3303,317.67,354.33
19,-18.2,350,18.7083,331.292,368.708
20,-15.4,336,18.3303,317.67,354.33
21,-12.6,377,19.4165,357.584,396.416
22,-9.8,340,18.4391,321.561,358.439
23,-7,349,18.6815,330.318,367.682
24,-4.2,79,8.88819,70.1118,87.8882
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,81,9,72,90
28,7,372,19.2873,352.713,391.287
29,9.8,305,17.4642,287.536,322.464
30,12.6,351,18.735,332.265,369.735
31,15.4,325,18.0278,306.972,343.028
32,18.2,345,18.5742,326.426,363.574
33,21,346,18.6011,327.399,364.601
34,23.8,314,17.72,296.28,331.72
35,26.6,325,18.0278,306.972,343.028
36,29.4,340,18.4391,321.561,358.439
37,32.2,313,17.6918,295.308,330.692
38,35,303,17.4069,285.593,320.407
39,37.8,352,18.7617,333.238,370.762
40,40.6,359,18.9473,340.053,377.947
41,43.4,345,18.5742,326.426,363.574
42,46.2,352,18.7617,333.238,370.762
43,49,341,18.4662,322.534,359.466
44,51.8,337,18.3576,318.642,355.358
45,54.6,332,18.2209,313.779,350.221
46,57.4,349,18.6815,330.318,367.682
47,60.2,24,4.89898,19.101,28.899
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
