Interaction,Muons,Protons,Pions,Kaons
1,1,1,0,2
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,2,0,0,0
6,1,0,0,0
7,1,1,0,1
8,2,0,0,0
9,1,1,0,0
10,1,1,0,0
11,1,0,0,0
12,1,0,0,0
13,2,0,0,0
14,1,0,1,0
15,3,2,1,0
16,1,0,0,0
17,1,1,0,1
18,1,1,1,0
19,1,1,0,0
20,2,1,0,0
21,0,0,1,0
22,5,0,0,0
23,1,3,0,0
24,1,0,1,0
25,2,1,0,0
26,2,1,0,0
27,3,0,0,1
28,1,0,0,0
29,2,1,0,0
30,1,1,1,0
31,3,0,0,0
32,1,0,0,0
33,2,0,0,0
34,2,0,0,0
35,2,0,1,0
36,2,1,0,0
37,1,1,0,0
38,1,2,0,0
39,1,1,0,0
40,2,0,1,0
41,4,1,0,0
42,0,0,1,0
43,1,0,0,0
44,1,0,0,0
45,1,0,1,0
46,1,1,0,0
47,1,0,0,0
48,1,0,0,0
49,1,0,0,0
50,1,1,0,0
51,1,0,0,0
52,1,0,0,0
53,1,0,1,0
54,1,1,0,0
55,1,0,0,0
56,1,1,0,0
57,1,0,0,0
58,1,0,1,0
59,1,2,0,0
60,1,2,0,0
61,1,0,0,0
62,1,1,1,0
63,1,2,0,0
64,1,1,0,0
65,1,0,0,0
66,1,1,0,0
67,1,1,0,0
68,2,2,1,0
69,2,1,1,1
70,1,4,0,0
71,3,0,0,0
72,1,2,0,0
73,1,1,0,0
74,2,0,0,0
75,1,0,1,0
76,1,1,0,0
77,1,0,0,0
78,1,0,0,0
79,1,0,0,0
80,1,0,1,0
81,1,0,0,0
82,2,0,0,0
83,2,2,1,0
84,4,2,0,0
85,1,0,0,0
86,2,1,0,1
87,1,0,1,0
88,2,1,0,0
89,3,0,0,0
90,1,0,1,0
91,3,1,0,1
92,2,3,1,0
93,1,0,0,0
94,1,0,0,0
95,3,2,0,0
96,1,1,0,0
97,2,0,1,0
98,1,1,0,0
99,1,0,1,0
100,1,2,0,0
101,1,0,0,0
102,2,1,0,0
103,0,2,0,0
104,3,0,0,0
105,2,0,0,1
106,1,0,1,0
107,2,0,1,0
108,1,0,0,0
109,1,1,1,0
110,3,0,0,0
111,1,0,0,0
112,2,1,0,0
113,2,0,0,0
114,1,0,1,0
115,1,3,0,0
116,2,1,0,0
117,2,0,0,0
118,1,2,0,0
119,3,1,0,0
120,1,1,0,0
121,1,0,0,0
122,1,1,0,0
123,1,1,0,0
124,2,1,1,0
125,1,0,0,0
126,1,0,0,0
127,1,2,1,0
128,4,0,1,0
129,3,1,0,0
130,1,0,0,0
131,1,1,0,0
132,1,0,0,0
133,1,1,0,0
134,1,0,1,0
135,1,1,0,0
136,1,0,0,0
137,1,0,0,0
138,1,0,0,0
139,1,0,1,0
140,1,0,0,0
141,1,1,0,0
142,1,0,0,0
143,0,0,1,0
144,2,0,0,0
145,1,0,0,0
146,1,0,0,0
147,0,1,1,1
148,1,0,0,0
149,1,0,0,0
150,1,0,0,0
151,1,0,0,0
152,0,1,0,1
153,2,0,0,0
154,1,1,0,0
155,1,1,0,0
156,1,0,0,0
157,1,0,0,0
158,3,1,0,0
159,2,2,0,0
160,1,0,0,0
161,1,0,0,0
162,1,0,0,0
163,1,0,0,0
164,1,0,0,0
165,1,1,0,1
166,4,0,0,0
167,2,1,0,0
168,3,1,0,0
169,2,1,0,2
170,1,0,0,0
171,1,0,0,0
172,3,1,0,0
173,1,0,2,0
174,1,0,0,0
175,1,1,0,1
176,2,0,0,1
177,2,0,0,0
178,1,1,0,0
179,1,0,0,0
180,1,1,0,0
181,2,0,0,0
182,2,0,0,0
183,1,0,1,0
184,1,0,0,0
185,1,0,0,0
186,1,3,1,0
187,1,0,0,0
188,2,0,0,0
189,1,2,1,0
190,1,1,0,0
191,1,0,0,0
192,1,0,0,0
193,1,0,0,0
194,2,0,0,0
195,1,0,0,1
196,1,0,0,0
197,1,0,0,0
198,2,1,0,0
199,1,0,0,0
200,1,0,0,0
201,1,0,0,0
202,2,0,1,0
203,1,0,1,0
204,1,1,0,0
205,2,1,0,0
206,1,0,0,0
207,0,1,1,0
208,1,2,0,0
209,1,1,0,1
210,1,0,0,0
211,1,1,0,0
212,1,0,0,0
213,3,0,0,0
214,1,1,0,0
215,2,0,0,0
216,1,0,0,0
217,1,1,0,0
218,1,1,0,0
219,1,0,1,1
220,1,0,1,0
221,2,0,0,0
222,1,0,0,0
223,1,0,1,0
224,3,0,0,0
225,1,1,0,0
226,1,0,1,0
227,1,1,0,0
228,1,1,0,0
229,1,0,0,0
230,1,1,0,0
231,1,3,0,0
232,1,1,0,0
233,1,0,0,0
234,1,0,0,0
235,1,0,0,0
236,1,0,0,0
237,1,0,0,0
238,1,0,0,1
239,1,1,0,0
240,1,0,0,0
241,2,0,0,0
242,1,1,0,0
243,2,1,0,0
244,1,0,0,0
245,1,1,1,0
246,1,0,0,0
247,1,0,1,0
248,1,2,0,0
249,1,0,2,1
250,1,0,0,0
251,2,0,0,0
252,1,1,0,0
253,1,1,0,0
254,1,1,0,0
255,2,0,0,0
256,1,2,0,0
257,1,0,0,0
258,3,0,0,0
259,2,2,0,0
260,1,2,0,0
261,1,0,0,2
262,1,0,0,0
263,2,1,0,0
264,3,1,0,0
265,1,0,0,0
266,1,0,0,0
267,1,0,0,0
268,1,1,0,0
269,1,0,0,0
270,1,2,1,0
271,1,1,1,0
272,1,1,0,1
273,1,1,0,0
274,1,0,0,0
275,2,1,0,0
276,1,0,0,0
277,3,1,0,0
278,1,0,0,0
279,1,0,0,0
280,2,0,0,0
281,1,0,0,0
282,1,1,0,0
283,1,1,1,0
284,0,0,1,0
285,1,0,0,0
286,1,1,0,0
287,2,0,0,0
288,2,0,0,0
289,2,0,0,0
290,1,1,0,0
291,2,0,0,0
292,3,2,0,0
293,2,1,0,0
294,2,1,0,0
295,2,1,0,0
296,3,0,0,0
297,2,0,1,0
298,1,0,0,0
299,1,2,0,1
300,3,3,0,0
301,1,0,0,0
302,2,1,0,0
303,1,0,0,0
304,1,0,0,0
305,4,0,0,0
306,1,0,0,0
307,0,0,3,0
308,3,1,0,0
309,1,0,0,0
310,2,1,0,0
311,1,1,0,0
312,2,1,0,0
313,1,1,1,0
314,1,0,0,0
315,1,1,0,0
316,1,1,0,0
317,2,0,0,0
318,1,1,0,0
319,1,0,0,0
320,3,0,0,0
321,1,0,0,0
322,1,0,0,0
323,2,0,0,0
324,1,0,0,0
325,1,2,0,0
326,1,1,0,0
327,1,1,0,0
328,1,1,0,0
329,1,0,0,0
330,1,0,1,0
331,1,0,0,0
332,1,0,0,0
333,4,1,0,0
334,1,0,0,0
335,1,1,0,0
336,3,1,0,0
337,1,2,0,0
338,1,0,0,0
339,3,0,0,0
340,1,0,0,0
341,1,1,0,0
342,1,0,0,0
343,2,1,0,0
344,1,0,0,0
345,1,2,0,0
346,1,0,0,0
347,2,0,0,0
348,1,0,0,2
349,1,0,0,0
350,1,0,0,0
351,1,1,0,0
352,1,0,0,0
353,1,0,0,0
354,1,0,0,0
355,1,0,0,0
356,1,0,0,0
357,2,0,0,0
358,1,1,0,0
359,0,0,0,1
360,2,0,0,0
361,1,0,0,0
362,1,0,0,0
363,1,0,0,0
364,3,2,0,0
365,2,1,0,0
366,1,1,2,0
367,3,0,0,0
368,2,0,0,0
369,1,0,0,0
370,2,2,0,0
371,3,1,0,0
372,2,0,0,0
373,1,0,0,0
374,1,0,0,0
375,1,0,0,0
376,1,4,0,0
377,4,0,0,0
378,2,0,0,0
379,1,0,0,0
380,1,1,0,0
381,1,1,0,0
382,1,1,0,0
383,1,0,0,0
384,1,1,1,0
385,1,1,0,0
386,1,0,1,0
387,1,0,0,0
388,2,0,1,0
389,2,1,1,0
390,2,3,0,0
391,1,1,0,0
392,1,1,0,0
393,2,1,0,0
394,1,0,1,0
395,1,1,0,0
396,2,0,0,0
397,1,0,0,0
398,2,1,1,0
399,1,0,0,0
400,1,0,0,0
401,3,2,1,1
402,1,1,0,0
403,2,0,0,0
404,2,1,0,0
405,1,0,0,0
406,2,0,0,0
407,1,0,0,0
408,1,0,0,0
409,1,1,0,0
410,1,0,0,0
411,1,0,0,0
412,1,0,1,0
413,1,0,1,0
414,1,0,0,0
415,4,2,0,0
416,1,2,0,1
417,1,1,0,0
418,1,1,0,0
419,1,1,0,0
420,2,3,0,0
421,2,3,0,1
422,3,1,0,0
423,1,0,0,0
424,1,1,0,0
425,1,0,0,0
426,1,1,0,0
427,2,1,0,0
428,2,1,0,0
429,1,3,0,0
430,3,0,0,0
431,1,0,0,0
432,3,1,0,0
433,2,0,1,0
434,1,0,0,2
435,1,1,0,0
436,1,1,0,0
437,1,0,0,0
438,1,0,0,0
439,1,0,0,0
440,1,1,1,0
441,1,1,0,0
442,2,3,0,0
443,3,1,2,0
444,2,0,0,0
445,1,0,0,0
446,1,0,0,0
447,2,1,0,1
448,1,1,0,0
449,1,1,0,0
450,2,0,1,0
451,2,1,0,0
452,1,0,0,0
453,1,0,0,0
454,1,3,0,0
455,1,0,0,0
456,2,2,0,0
457,3,1,0,0
458,1,1,0,0
459,2,0,0,0
460,0,0,1,0
461,2,0,0,0
462,1,0,0,0
463,0,1,1,2
464,3,0,0,0
465,1,0,0,0
466,1,0,1,0
467,1,1,0,0
468,3,0,0,1
469,1,0,1,0
470,2,1,0,0
471,1,0,0,0
472,1,0,0,0
473,1,2,0,0
474,1,1,1,0
475,3,0,0,0
476,1,0,0,0
