Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,1,1,0,2
2,-0.97,2,1.41421,0.585786,3.41421
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,3,1.73205,1.26795,4.73205
8,-0.85,0,0,0,0
9,-0.83,1,1,0,2
10,-0.81,1,1,0,2
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,1,1,0,2
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,0,0,0,0
19,-0.63,2,1.41421,0.585786,3.41421
20,-0.61,0,0,0,0
21,-0.59,0,0,0,0
22,-0.57,2,1.41421,0.585786,3.41421
23,-0.55,2,1.41421,0.585786,3.41421
24,-0.53,1,1,0,2
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,0,0,0,0
29,-0.43,0,0,0,0
30,-0.41,0,0,0,0
31,-0.39,1,1,0,2
32,-0.37,0,0,0,0
33,-0.35,3,1.73205,1.26795,4.73205
34,-0.33,2,1.41421,0.585786,3.41421
35,-0.31,1,1,0,2
36,-0.29,1,1,0,2
37,-0.27,0,0,0,0
38,-0.25,1,1,0,2
39,-0.23,0,0,0,0
40,-0.21,3,1.73205,1.26795,4.73205
41,-0.19,2,1.41421,0.585786,3.41421
42,-0.17,3,1.73205,1.26795,4.73205
43,-0.15,2,1.41421,0.585786,3.41421
44,-0.13,0,0,0,0
45,-0.11,1,1,0,2
46,-0.09,2,1.41421,0.585786,3.41421
47,-0.07,0,0,0,0
48,-0.05,0,0,0,0
49,-0.03,3,1.73205,1.26795,4.73205
50,-0.01,0,0,0,0
51,0.01,1,1,0,2
52,0.03,3,1.73205,1.26795,4.73205
53,0.05,0,0,0,0
54,0.07,1,1,0,2
55,0.09,0,0,0,0
56,0.11,0,0,0,0
57,0.13,1,1,0,2
58,0.15,1,1,0,2
59,0.17,1,1,0,2
60,0.19,2,1.41421,0.585786,3.41421
61,0.21,1,1,0,2
62,0.23,0,0,0,0
63,0.25,2,1.41421,0.585786,3.41421
64,0.27,0,0,0,0
65,0.29,1,1,0,2
66,0.31,2,1.41421,0.585786,3.41421
67,0.33,3,1.73205,1.26795,4.73205
68,0.35,3,1.73205,1.26795,4.73205
69,0.37,3,1.73205,1.26795,4.73205
70,0.39,2,1.41421,0.585786,3.41421
71,0.41,3,1.73205,1.26795,4.73205
72,0.43,1,1,0,2
73,0.45,1,1,0,2
74,0.47,2,1.41421,0.585786,3.41421
75,0.49,3,1.73205,1.26795,4.73205
76,0.51,1,1,0,2
77,0.53,2,1.41421,0.585786,3.41421
78,0.55,3,1.73205,1.26795,4.73205
79,0.57,6,2.44949,3.55051,8.44949
80,0.59,3,1.73205,1.26795,4.73205
81,0.61,10,3.16228,6.83772,13.1623
82,0.63,6,2.44949,3.55051,8.44949
83,0.65,4,2,2,6
84,0.67,8,2.82843,5.17157,10.8284
85,0.69,4,2,2,6
86,0.71,10,3.16228,6.83772,13.1623
87,0.73,4,2,2,6
88,0.75,6,2.44949,3.55051,8.44949
89,0.77,11,3.31662,7.68338,14.3166
90,0.79,10,3.16228,6.83772,13.1623
91,0.81,13,3.60555,9.39445,16.6056
92,0.83,9,3,6,12
93,0.85,16,4,12,20
94,0.87,13,3.60555,9.39445,16.6056
95,0.89,27,5.19615,21.8038,32.1962
96,0.91,27,5.19615,21.8038,32.1962
97,0.93,55,7.4162,47.5838,62.4162
98,0.95,70,8.3666,61.6334,78.3666
99,0.97,179,13.3791,165.621,192.379
100,0.99,640,25.2982,614.702,665.298
