Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,1,1,0,2
2,-0.97,1,1,0,2
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,1,1,0,2
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,1,1,0,2
12,-0.77,2,1.41421,0.585786,3.41421
13,-0.75,1,1,0,2
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,1,1,0,2
19,-0.63,1,1,0,2
20,-0.61,1,1,0,2
21,-0.59,0,0,0,0
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,1,1,0,2
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,2,1.41421,0.585786,3.41421
29,-0.43,2,1.41421,0.585786,3.41421
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,1,1,0,2
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,0,0,0,0
36,-0.29,1,1,0,2
37,-0.27,0,0,0,0
38,-0.25,1,1,0,2
39,-0.23,1,1,0,2
40,-0.21,2,1.41421,0.585786,3.41421
41,-0.19,0,0,0,0
42,-0.17,1,1,0,2
43,-0.15,0,0,0,0
44,-0.13,3,1.73205,1.26795,4.73205
45,-0.11,1,1,0,2
46,-0.09,1,1,0,2
47,-0.07,1,1,0,2
48,-0.05,2,1.41421,0.585786,3.41421
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,0,0,0,0
52,0.03,0,0,0,0
53,0.05,0,0,0,0
54,0.07,0,0,0,0
55,0.09,0,0,0,0
56,0.11,0,0,0,0
57,0.13,1,1,0,2
58,0.15,0,0,0,0
59,0.17,1,1,0,2
60,0.19,0,0,0,0
61,0.21,1,1,0,2
62,0.23,1,1,0,2
63,0.25,1,1,0,2
64,0.27,2,1.41421,0.585786,3.41421
65,0.29,0,0,0,0
66,0.31,2,1.41421,0.585786,3.41421
67,0.33,1,1,0,2
68,0.35,0,0,0,0
69,0.37,0,0,0,0
70,0.39,2,1.41421,0.585786,3.41421
71,0.41,1,1,0,2
72,0.43,3,1.73205,1.26795,4.73205
73,0.45,1,1,0,2
74,0.47,1,1,0,2
75,0.49,0,0,0,0
76,0.51,2,1.41421,0.585786,3.41421
77,0.53,2,1.41421,0.585786,3.41421
78,0.55,1,1,0,2
79,0.57,1,1,0,2
80,0.59,1,1,0,2
81,0.61,4,2,2,6
82,0.63,4,2,2,6
83,0.65,1,1,0,2
84,0.67,1,1,0,2
85,0.69,1,1,0,2
86,0.71,0,0,0,0
87,0.73,1,1,0,2
88,0.75,5,2.23607,2.76393,7.23607
89,0.77,3,1.73205,1.26795,4.73205
90,0.79,2,1.41421,0.585786,3.41421
91,0.81,2,1.41421,0.585786,3.41421
92,0.83,2,1.41421,0.585786,3.41421
93,0.85,5,2.23607,2.76393,7.23607
94,0.87,8,2.82843,5.17157,10.8284
95,0.89,4,2,2,6
96,0.91,4,2,2,6
97,0.93,12,3.4641,8.5359,15.4641
98,0.95,15,3.87298,11.127,18.873
99,0.97,21,4.58258,16.4174,25.5826
100,0.99,30,5.47723,24.5228,35.4772
