Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,2,1.41421,0.585786,3.41421
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,1,1,0,2
6,-0.89,2,1.41421,0.585786,3.41421
7,-0.87,1,1,0,2
8,-0.85,1,1,0,2
9,-0.83,1,1,0,2
10,-0.81,1,1,0,2
11,-0.79,1,1,0,2
12,-0.77,3,1.73205,1.26795,4.73205
13,-0.75,0,0,0,0
14,-0.73,1,1,0,2
15,-0.71,2,1.41421,0.585786,3.41421
16,-0.69,1,1,0,2
17,-0.67,1,1,0,2
18,-0.65,0,0,0,0
19,-0.63,2,1.41421,0.585786,3.41421
20,-0.61,2,1.41421,0.585786,3.41421
21,-0.59,2,1.41421,0.585786,3.41421
22,-0.57,0,0,0,0
23,-0.55,2,1.41421,0.585786,3.41421
24,-0.53,0,0,0,0
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,2,1.41421,0.585786,3.41421
28,-0.45,3,1.73205,1.26795,4.73205
29,-0.43,3,1.73205,1.26795,4.73205
30,-0.41,2,1.41421,0.585786,3.41421
31,-0.39,2,1.41421,0.585786,3.41421
32,-0.37,3,1.73205,1.26795,4.73205
33,-0.35,1,1,0,2
34,-0.33,4,2,2,6
35,-0.31,3,1.73205,1.26795,4.73205
36,-0.29,0,0,0,0
37,-0.27,2,1.41421,0.585786,3.41421
38,-0.25,1,1,0,2
39,-0.23,1,1,0,2
40,-0.21,1,1,0,2
41,-0.19,7,2.64575,4.35425,9.64575
42,-0.17,0,0,0,0
43,-0.15,3,1.73205,1.26795,4.73205
44,-0.13,1,1,0,2
45,-0.11,1,1,0,2
46,-0.09,2,1.41421,0.585786,3.41421
47,-0.07,0,0,0,0
48,-0.05,3,1.73205,1.26795,4.73205
49,-0.03,2,1.41421,0.585786,3.41421
50,-0.01,0,0,0,0
51,0.01,6,2.44949,3.55051,8.44949
52,0.03,2,1.41421,0.585786,3.41421
53,0.05,4,2,2,6
54,0.07,4,2,2,6
55,0.09,4,2,2,6
56,0.11,0,0,0,0
57,0.13,5,2.23607,2.76393,7.23607
58,0.15,6,2.44949,3.55051,8.44949
59,0.17,1,1,0,2
60,0.19,4,2,2,6
61,0.21,4,2,2,6
62,0.23,2,1.41421,0.585786,3.41421
63,0.25,5,2.23607,2.76393,7.23607
64,0.27,2,1.41421,0.585786,3.41421
65,0.29,4,2,2,6
66,0.31,3,1.73205,1.26795,4.73205
67,0.33,5,2.23607,2.76393,7.23607
68,0.35,6,2.44949,3.55051,8.44949
69,0.37,7,2.64575,4.35425,9.64575
70,0.39,2,1.41421,0.585786,3.41421
71,0.41,7,2.64575,4.35425,9.64575
72,0.43,7,2.64575,4.35425,9.64575
73,0.45,4,2,2,6
74,0.47,2,1.41421,0.585786,3.41421
75,0.49,7,2.64575,4.35425,9.64575
76,0.51,5,2.23607,2.76393,7.23607
77,0.53,6,2.44949,3.55051,8.44949
78,0.55,6,2.44949,3.55051,8.44949
79,0.57,9,3,6,12
80,0.59,6,2.44949,3.55051,8.44949
81,0.61,5,2.23607,2.76393,7.23607
82,0.63,2,1.41421,0.585786,3.41421
83,0.65,4,2,2,6
84,0.67,6,2.44949,3.55051,8.44949
85,0.69,9,3,6,12
86,0.71,11,3.31662,7.68338,14.3166
87,0.73,5,2.23607,2.76393,7.23607
88,0.75,9,3,6,12
89,0.77,13,3.60555,9.39445,16.6056
90,0.79,8,2.82843,5.17157,10.8284
91,0.81,12,3.4641,8.5359,15.4641
92,0.83,12,3.4641,8.5359,15.4641
93,0.85,19,4.3589,14.6411,23.3589
94,0.87,14,3.74166,10.2583,17.7417
95,0.89,17,4.12311,12.8769,21.1231
96,0.91,20,4.47214,15.5279,24.4721
97,0.93,14,3.74166,10.2583,17.7417
98,0.95,18,4.24264,13.7574,22.2426
99,0.97,27,5.19615,21.8038,32.1962
100,0.99,33,5.74456,27.2554,38.7446
