Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,9,3,6,12
2,0.03,25,5,20,30
3,0.05,19,4.3589,14.6411,23.3589
4,0.07,24,4.89898,19.101,28.899
5,0.09,51,7.14143,43.8586,58.1414
6,0.11,71,8.42615,62.5739,79.4261
7,0.13,63,7.93725,55.0627,70.9373
8,0.15,80,8.94427,71.0557,88.9443
9,0.17,75,8.66025,66.3397,83.6603
10,0.19,68,8.24621,59.7538,76.2462
11,0.21,76,8.7178,67.2822,84.7178
12,0.23,82,9.05539,72.9446,91.0554
13,0.25,87,9.32738,77.6726,96.3274
14,0.27,75,8.66025,66.3397,83.6603
15,0.29,68,8.24621,59.7538,76.2462
16,0.31,63,7.93725,55.0627,70.9373
17,0.33,55,7.4162,47.5838,62.4162
18,0.35,25,5,20,30
19,0.37,19,4.3589,14.6411,23.3589
20,0.39,19,4.3589,14.6411,23.3589
21,0.41,16,4,12,20
22,0.43,12,3.4641,8.5359,15.4641
23,0.45,4,2,2,6
24,0.47,6,2.44949,3.55051,8.44949
25,0.49,6,2.44949,3.55051,8.44949
26,0.51,2,1.41421,0.585786,3.41421
27,0.53,4,2,2,6
28,0.55,4,2,2,6
29,0.57,3,1.73205,1.26795,4.73205
30,0.59,2,1.41421,0.585786,3.41421
31,0.61,2,1.41421,0.585786,3.41421
32,0.63,5,2.23607,2.76393,7.23607
33,0.65,0,0,0,0
34,0.67,1,1,0,2
35,0.69,2,1.41421,0.585786,3.41421
36,0.71,0,0,0,0
37,0.73,1,1,0,2
38,0.75,1,1,0,2
39,0.77,0,0,0,0
40,0.79,0,0,0,0
41,0.81,1,1,0,2
42,0.83,0,0,0,0
43,0.85,1,1,0,2
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,1,1,0,2
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,1,1,0,2
