Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,0,0,0,0
3,0.05,49,7,42,56
4,0.07,53,7.28011,45.7199,60.2801
5,0.09,44,6.63325,37.3668,50.6332
6,0.11,40,6.32456,33.6754,46.3246
7,0.13,44,6.63325,37.3668,50.6332
8,0.15,29,5.38516,23.6148,34.3852
9,0.17,27,5.19615,21.8038,32.1962
10,0.19,33,5.74456,27.2554,38.7446
11,0.21,25,5,20,30
12,0.23,17,4.12311,12.8769,21.1231
13,0.25,19,4.3589,14.6411,23.3589
14,0.27,12,3.4641,8.5359,15.4641
15,0.29,7,2.64575,4.35425,9.64575
16,0.31,12,3.4641,8.5359,15.4641
17,0.33,14,3.74166,10.2583,17.7417
18,0.35,9,3,6,12
19,0.37,4,2,2,6
20,0.39,5,2.23607,2.76393,7.23607
21,0.41,3,1.73205,1.26795,4.73205
22,0.43,2,1.41421,0.585786,3.41421
23,0.45,1,1,0,2
24,0.47,2,1.41421,0.585786,3.41421
25,0.49,3,1.73205,1.26795,4.73205
26,0.51,2,1.41421,0.585786,3.41421
27,0.53,0,0,0,0
28,0.55,0,0,0,0
29,0.57,0,0,0,0
30,0.59,0,0,0,0
31,0.61,0,0,0,0
32,0.63,0,0,0,0
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,0,0,0,0
40,0.79,0,0,0,0
41,0.81,0,0,0,0
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,0,0,0,0
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,0,0,0,0
