Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,23,4.79583,18.2042,27.7958
3,5,13,3.60555,9.39445,16.6056
4,7,14,3.74166,10.2583,17.7417
5,9,14,3.74166,10.2583,17.7417
6,11,22,4.69042,17.3096,26.6904
7,13,24,4.89898,19.101,28.899
8,15,20,4.47214,15.5279,24.4721
9,17,21,4.58258,16.4174,25.5826
10,19,23,4.79583,18.2042,27.7958
11,21,29,5.38516,23.6148,34.3852
12,23,37,6.08276,30.9172,43.0828
13,25,23,4.79583,18.2042,27.7958
14,27,32,5.65685,26.3431,37.6569
15,29,20,4.47214,15.5279,24.4721
16,31,22,4.69042,17.3096,26.6904
17,33,26,5.09902,20.901,31.099
18,35,30,5.47723,24.5228,35.4772
19,37,34,5.83095,28.169,39.831
20,39,27,5.19615,21.8038,32.1962
21,41,28,5.2915,22.7085,33.2915
22,43,30,5.47723,24.5228,35.4772
23,45,24,4.89898,19.101,28.899
24,47,36,6,30,42
25,49,19,4.3589,14.6411,23.3589
26,51,28,5.2915,22.7085,33.2915
27,53,25,5,20,30
28,55,20,4.47214,15.5279,24.4721
29,57,18,4.24264,13.7574,22.2426
30,59,31,5.56776,25.4322,36.5678
31,61,8,2.82843,5.17157,10.8284
32,63,5,2.23607,2.76393,7.23607
33,65,4,2,2,6
34,67,1,1,0,2
35,69,3,1.73205,1.26795,4.73205
36,71,20,4.47214,15.5279,24.4721
37,73,17,4.12311,12.8769,21.1231
38,75,17,4.12311,12.8769,21.1231
39,77,18,4.24264,13.7574,22.2426
40,79,14,3.74166,10.2583,17.7417
41,81,19,4.3589,14.6411,23.3589
42,83,21,4.58258,16.4174,25.5826
43,85,22,4.69042,17.3096,26.6904
44,87,11,3.31662,7.68338,14.3166
45,89,20,4.47214,15.5279,24.4721
46,91,18,4.24264,13.7574,22.2426
47,93,14,3.74166,10.2583,17.7417
48,95,17,4.12311,12.8769,21.1231
49,97,30,5.47723,24.5228,35.4772
50,99,18,4.24264,13.7574,22.2426
