Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,9,3,6,12
3,5,12,3.4641,8.5359,15.4641
4,7,9,3,6,12
5,9,10,3.16228,6.83772,13.1623
6,11,10,3.16228,6.83772,13.1623
7,13,9,3,6,12
8,15,8,2.82843,5.17157,10.8284
9,17,2,1.41421,0.585786,3.41421
10,19,4,2,2,6
11,21,9,3,6,12
12,23,4,2,2,6
13,25,8,2.82843,5.17157,10.8284
14,27,3,1.73205,1.26795,4.73205
15,29,3,1.73205,1.26795,4.73205
16,31,3,1.73205,1.26795,4.73205
17,33,4,2,2,6
18,35,1,1,0,2
19,37,6,2.44949,3.55051,8.44949
20,39,4,2,2,6
21,41,4,2,2,6
22,43,1,1,0,2
23,45,5,2.23607,2.76393,7.23607
24,47,11,3.31662,7.68338,14.3166
25,49,5,2.23607,2.76393,7.23607
26,51,3,1.73205,1.26795,4.73205
27,53,5,2.23607,2.76393,7.23607
28,55,4,2,2,6
29,57,3,1.73205,1.26795,4.73205
30,59,2,1.41421,0.585786,3.41421
31,61,2,1.41421,0.585786,3.41421
32,63,2,1.41421,0.585786,3.41421
33,65,2,1.41421,0.585786,3.41421
34,67,4,2,2,6
35,69,1,1,0,2
36,71,1,1,0,2
37,73,0,0,0,0
38,75,0,0,0,0
39,77,2,1.41421,0.585786,3.41421
40,79,0,0,0,0
41,81,0,0,0,0
42,83,0,0,0,0
43,85,0,0,0,0
44,87,0,0,0,0
45,89,1,1,0,2
46,91,1,1,0,2
47,93,1,1,0,2
48,95,0,0,0,0
49,97,0,0,0,0
50,99,1,1,0,2
