Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,69,8.30662,60.6934,77.3066
3,5,47,6.85565,40.1443,53.8557
4,7,41,6.40312,34.5969,47.4031
5,9,24,4.89898,19.101,28.899
6,11,27,5.19615,21.8038,32.1962
7,13,18,4.24264,13.7574,22.2426
8,15,17,4.12311,12.8769,21.1231
9,17,26,5.09902,20.901,31.099
10,19,20,4.47214,15.5279,24.4721
11,21,12,3.4641,8.5359,15.4641
12,23,15,3.87298,11.127,18.873
13,25,11,3.31662,7.68338,14.3166
14,27,17,4.12311,12.8769,21.1231
15,29,11,3.31662,7.68338,14.3166
16,31,5,2.23607,2.76393,7.23607
17,33,5,2.23607,2.76393,7.23607
18,35,11,3.31662,7.68338,14.3166
19,37,9,3,6,12
20,39,7,2.64575,4.35425,9.64575
21,41,2,1.41421,0.585786,3.41421
22,43,8,2.82843,5.17157,10.8284
23,45,5,2.23607,2.76393,7.23607
24,47,4,2,2,6
25,49,2,1.41421,0.585786,3.41421
26,51,4,2,2,6
27,53,4,2,2,6
28,55,2,1.41421,0.585786,3.41421
29,57,6,2.44949,3.55051,8.44949
30,59,2,1.41421,0.585786,3.41421
31,61,5,2.23607,2.76393,7.23607
32,63,2,1.41421,0.585786,3.41421
33,65,4,2,2,6
34,67,2,1.41421,0.585786,3.41421
35,69,1,1,0,2
36,71,3,1.73205,1.26795,4.73205
37,73,1,1,0,2
38,75,1,1,0,2
39,77,1,1,0,2
40,79,1,1,0,2
41,81,0,0,0,0
42,83,1,1,0,2
43,85,1,1,0,2
44,87,2,1.41421,0.585786,3.41421
45,89,0,0,0,0
46,91,2,1.41421,0.585786,3.41421
47,93,0,0,0,0
48,95,1,1,0,2
49,97,1,1,0,2
50,99,2,1.41421,0.585786,3.41421
