Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,4,2,2,6
6,-54.6,19,4.3589,14.6411,23.3589
7,-51.8,16,4,12,20
8,-49,22,4.69042,17.3096,26.6904
9,-46.2,23,4.79583,18.2042,27.7958
10,-43.4,20,4.47214,15.5279,24.4721
11,-40.6,25,5,20,30
12,-37.8,22,4.69042,17.3096,26.6904
13,-35,29,5.38516,23.6148,34.3852
14,-32.2,13,3.60555,9.39445,16.6056
15,-29.4,13,3.60555,9.39445,16.6056
16,-26.6,27,5.19615,21.8038,32.1962
17,-23.8,18,4.24264,13.7574,22.2426
18,-21,25,5,20,30
19,-18.2,20,4.47214,15.5279,24.4721
20,-15.4,23,4.79583,18.2042,27.7958
21,-12.6,12,3.4641,8.5359,15.4641
22,-9.8,20,4.47214,15.5279,24.4721
23,-7,11,3.31662,7.68338,14.3166
24,-4.2,29,5.38516,23.6148,34.3852
25,-1.4,18,4.24264,13.7574,22.2426
26,1.4,19,4.3589,14.6411,23.3589
27,4.2,23,4.79583,18.2042,27.7958
28,7,21,4.58258,16.4174,25.5826
29,9.8,22,4.69042,17.3096,26.6904
30,12.6,23,4.79583,18.2042,27.7958
31,15.4,18,4.24264,13.7574,22.2426
32,18.2,25,5,20,30
33,21,22,4.69042,17.3096,26.6904
34,23.8,21,4.58258,16.4174,25.5826
35,26.6,24,4.89898,19.101,28.899
36,29.4,22,4.69042,17.3096,26.6904
37,32.2,27,5.19615,21.8038,32.1962
38,35,20,4.47214,15.5279,24.4721
39,37.8,18,4.24264,13.7574,22.2426
40,40.6,26,5.09902,20.901,31.099
41,43.4,21,4.58258,16.4174,25.5826
42,46.2,25,5,20,30
43,49,25,5,20,30
44,51.8,17,4.12311,12.8769,21.1231
45,54.6,18,4.24264,13.7574,22.2426
46,57.4,14,3.74166,10.2583,17.7417
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
