Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,2,1.41421,0.585786,3.41421
5,-57.4,21,4.58258,16.4174,25.5826
6,-54.6,24,4.89898,19.101,28.899
7,-51.8,18,4.24264,13.7574,22.2426
8,-49,22,4.69042,17.3096,26.6904
9,-46.2,19,4.3589,14.6411,23.3589
10,-43.4,22,4.69042,17.3096,26.6904
11,-40.6,23,4.79583,18.2042,27.7958
12,-37.8,16,4,12,20
13,-35,26,5.09902,20.901,31.099
14,-32.2,32,5.65685,26.3431,37.6569
15,-29.4,26,5.09902,20.901,31.099
16,-26.6,21,4.58258,16.4174,25.5826
17,-23.8,22,4.69042,17.3096,26.6904
18,-21,19,4.3589,14.6411,23.3589
19,-18.2,26,5.09902,20.901,31.099
20,-15.4,23,4.79583,18.2042,27.7958
21,-12.6,21,4.58258,16.4174,25.5826
22,-9.8,21,4.58258,16.4174,25.5826
23,-7,24,4.89898,19.101,28.899
24,-4.2,9,3,6,12
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,9,3,6,12
28,7,27,5.19615,21.8038,32.1962
29,9.8,24,4.89898,19.101,28.899
30,12.6,28,5.2915,22.7085,33.2915
31,15.4,20,4.47214,15.5279,24.4721
32,18.2,37,6.08276,30.9172,43.0828
33,21,26,5.09902,20.901,31.099
34,23.8,25,5,20,30
35,26.6,26,5.09902,20.901,31.099
36,29.4,29,5.38516,23.6148,34.3852
37,32.2,25,5,20,30
38,35,17,4.12311,12.8769,21.1231
39,37.8,16,4,12,20
40,40.6,20,4.47214,15.5279,24.4721
41,43.4,27,5.19615,21.8038,32.1962
42,46.2,15,3.87298,11.127,18.873
43,49,19,4.3589,14.6411,23.3589
44,51.8,12,3.4641,8.5359,15.4641
45,54.6,13,3.60555,9.39445,16.6056
46,57.4,6,2.44949,3.55051,8.44949
47,60.2,2,1.41421,0.585786,3.41421
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
