Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,0,0,0,0
6,-54.6,0,0,0,0
7,-51.8,0,0,0,0
8,-49,0,0,0,0
9,-46.2,0,0,0,0
10,-43.4,0,0,0,0
11,-40.6,0,0,0,0
12,-37.8,0,0,0,0
13,-35,0,0,0,0
14,-32.2,0,0,0,0
15,-29.4,0,0,0,0
16,-26.6,0,0,0,0
17,-23.8,0,0,0,0
18,-21,0,0,0,0
19,-18.2,0,0,0,0
20,-15.4,0,0,0,0
21,-12.6,0,0,0,0
22,-9.8,0,0,0,0
23,-7,0,0,0,0
24,-4.2,0,0,0,0
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,0,0,0,0
28,7,0,0,0,0
29,9.8,0,0,0,0
30,12.6,0,0,0,0
31,15.4,0,0,0,0
32,18.2,0,0,0,0
33,21,0,0,0,0
34,23.8,0,0,0,0
35,26.6,0,0,0,0
36,29.4,6,2.44949,3.55051,8.44949
37,32.2,53,7.28011,45.7199,60.2801
38,35,54,7.34847,46.6515,61.3485
39,37.8,54,7.34847,46.6515,61.3485
40,40.6,12,3.4641,8.5359,15.4641
41,43.4,1,1,0,2
42,46.2,0,0,0,0
43,49,0,0,0,0
44,51.8,0,0,0,0
45,54.6,0,0,0,0
46,57.4,0,0,0,0
47,60.2,1,1,0,2
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
