Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,2,1.41421,0.585786,3.41421
4,-60.2,0,0,0,0
5,-57.4,8,2.82843,5.17157,10.8284
6,-54.6,33,5.74456,27.2554,38.7446
7,-51.8,21,4.58258,16.4174,25.5826
8,-49,46,6.78233,39.2177,52.7823
9,-46.2,33,5.74456,27.2554,38.7446
10,-43.4,27,5.19615,21.8038,32.1962
11,-40.6,35,5.91608,29.0839,40.9161
12,-37.8,29,5.38516,23.6148,34.3852
13,-35,36,6,30,42
14,-32.2,17,4.12311,12.8769,21.1231
15,-29.4,23,4.79583,18.2042,27.7958
16,-26.6,42,6.48074,35.5193,48.4807
17,-23.8,21,4.58258,16.4174,25.5826
18,-21,37,6.08276,30.9172,43.0828
19,-18.2,29,5.38516,23.6148,34.3852
20,-15.4,43,6.55744,36.4426,49.5574
21,-12.6,17,4.12311,12.8769,21.1231
22,-9.8,29,5.38516,23.6148,34.3852
23,-7,12,3.4641,8.5359,15.4641
24,-4.2,35,5.91608,29.0839,40.9161
25,-1.4,26,5.09902,20.901,31.099
26,1.4,26,5.09902,20.901,31.099
27,4.2,34,5.83095,28.169,39.831
28,7,34,5.83095,28.169,39.831
29,9.8,28,5.2915,22.7085,33.2915
30,12.6,33,5.74456,27.2554,38.7446
31,15.4,24,4.89898,19.101,28.899
32,18.2,32,5.65685,26.3431,37.6569
33,21,32,5.65685,26.3431,37.6569
34,23.8,34,5.83095,28.169,39.831
35,26.6,27,5.19615,21.8038,32.1962
36,29.4,31,5.56776,25.4322,36.5678
37,32.2,35,5.91608,29.0839,40.9161
38,35,25,5,20,30
39,37.8,24,4.89898,19.101,28.899
40,40.6,35,5.91608,29.0839,40.9161
41,43.4,31,5.56776,25.4322,36.5678
42,46.2,31,5.56776,25.4322,36.5678
43,49,30,5.47723,24.5228,35.4772
44,51.8,23,4.79583,18.2042,27.7958
45,54.6,22,4.69042,17.3096,26.6904
46,57.4,25,5,20,30
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
