Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,0,0,0,0
6,-54.6,1,1,0,2
7,-51.8,7,2.64575,4.35425,9.64575
8,-49,4,2,2,6
9,-46.2,4,2,2,6
10,-43.4,6,2.44949,3.55051,8.44949
11,-40.6,6,2.44949,3.55051,8.44949
12,-37.8,5,2.23607,2.76393,7.23607
13,-35,7,2.64575,4.35425,9.64575
14,-32.2,6,2.44949,3.55051,8.44949
15,-29.4,1,1,0,2
16,-26.6,6,2.44949,3.55051,8.44949
17,-23.8,5,2.23607,2.76393,7.23607
18,-21,4,2,2,6
19,-18.2,5,2.23607,2.76393,7.23607
20,-15.4,3,1.73205,1.26795,4.73205
21,-12.6,4,2,2,6
22,-9.8,2,1.41421,0.585786,3.41421
23,-7,1,1,0,2
24,-4.2,3,1.73205,1.26795,4.73205
25,-1.4,3,1.73205,1.26795,4.73205
26,1.4,4,2,2,6
27,4.2,9,3,6,12
28,7,3,1.73205,1.26795,4.73205
29,9.8,4,2,2,6
30,12.6,6,2.44949,3.55051,8.44949
31,15.4,0,0,0,0
32,18.2,4,2,2,6
33,21,7,2.64575,4.35425,9.64575
34,23.8,3,1.73205,1.26795,4.73205
35,26.6,9,3,6,12
36,29.4,8,2.82843,5.17157,10.8284
37,32.2,5,2.23607,2.76393,7.23607
38,35,6,2.44949,3.55051,8.44949
39,37.8,6,2.44949,3.55051,8.44949
40,40.6,4,2,2,6
41,43.4,6,2.44949,3.55051,8.44949
42,46.2,3,1.73205,1.26795,4.73205
43,49,2,1.41421,0.585786,3.41421
44,51.8,5,2.23607,2.76393,7.23607
45,54.6,0,0,0,0
46,57.4,4,2,2,6
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
