Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,2,1.41421,0.585786,3.41421
6,-54.6,16,4,12,20
7,-51.8,7,2.64575,4.35425,9.64575
8,-49,8,2.82843,5.17157,10.8284
9,-46.2,16,4,12,20
10,-43.4,13,3.60555,9.39445,16.6056
11,-40.6,16,4,12,20
12,-37.8,21,4.58258,16.4174,25.5826
13,-35,25,5,20,30
14,-32.2,5,2.23607,2.76393,7.23607
15,-29.4,13,3.60555,9.39445,16.6056
16,-26.6,12,3.4641,8.5359,15.4641
17,-23.8,6,2.44949,3.55051,8.44949
18,-21,17,4.12311,12.8769,21.1231
19,-18.2,12,3.4641,8.5359,15.4641
20,-15.4,10,3.16228,6.83772,13.1623
21,-12.6,6,2.44949,3.55051,8.44949
22,-9.8,10,3.16228,6.83772,13.1623
23,-7,4,2,2,6
24,-4.2,16,4,12,20
25,-1.4,8,2.82843,5.17157,10.8284
26,1.4,7,2.64575,4.35425,9.64575
27,4.2,13,3.60555,9.39445,16.6056
28,7,9,3,6,12
29,9.8,15,3.87298,11.127,18.873
30,12.6,12,3.4641,8.5359,15.4641
31,15.4,11,3.31662,7.68338,14.3166
32,18.2,21,4.58258,16.4174,25.5826
33,21,8,2.82843,5.17157,10.8284
34,23.8,7,2.64575,4.35425,9.64575
35,26.6,9,3,6,12
36,29.4,7,2.64575,4.35425,9.64575
37,32.2,14,3.74166,10.2583,17.7417
38,35,6,2.44949,3.55051,8.44949
39,37.8,8,2.82843,5.17157,10.8284
40,40.6,17,4.12311,12.8769,21.1231
41,43.4,13,3.60555,9.39445,16.6056
42,46.2,16,4,12,20
43,49,7,2.64575,4.35425,9.64575
44,51.8,8,2.82843,5.17157,10.8284
45,54.6,8,2.82843,5.17157,10.8284
46,57.4,7,2.64575,4.35425,9.64575
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
