Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,1,1,0,2
3,-63,1,1,0,2
4,-60.2,5,2.23607,2.76393,7.23607
5,-57.4,25,5,20,30
6,-54.6,27,5.19615,21.8038,32.1962
7,-51.8,27,5.19615,21.8038,32.1962
8,-49,27,5.19615,21.8038,32.1962
9,-46.2,24,4.89898,19.101,28.899
10,-43.4,27,5.19615,21.8038,32.1962
11,-40.6,34,5.83095,28.169,39.831
12,-37.8,23,4.79583,18.2042,27.7958
13,-35,28,5.2915,22.7085,33.2915
14,-32.2,49,7,42,56
15,-29.4,31,5.56776,25.4322,36.5678
16,-26.6,27,5.19615,21.8038,32.1962
17,-23.8,29,5.38516,23.6148,34.3852
18,-21,28,5.2915,22.7085,33.2915
19,-18.2,32,5.65685,26.3431,37.6569
20,-15.4,26,5.09902,20.901,31.099
21,-12.6,26,5.09902,20.901,31.099
22,-9.8,26,5.09902,20.901,31.099
23,-7,32,5.65685,26.3431,37.6569
24,-4.2,17,4.12311,12.8769,21.1231
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,13,3.60555,9.39445,16.6056
28,7,37,6.08276,30.9172,43.0828
29,9.8,40,6.32456,33.6754,46.3246
30,12.6,38,6.16441,31.8356,44.1644
31,15.4,29,5.38516,23.6148,34.3852
32,18.2,44,6.63325,37.3668,50.6332
33,21,40,6.32456,33.6754,46.3246
34,23.8,33,5.74456,27.2554,38.7446
35,26.6,36,6,30,42
36,29.4,41,6.40312,34.5969,47.4031
37,32.2,41,6.40312,34.5969,47.4031
38,35,21,4.58258,16.4174,25.5826
39,37.8,29,5.38516,23.6148,34.3852
40,40.6,35,5.91608,29.0839,40.9161
41,43.4,48,6.9282,41.0718,54.9282
42,46.2,21,4.58258,16.4174,25.5826
43,49,31,5.56776,25.4322,36.5678
44,51.8,22,4.69042,17.3096,26.6904
45,54.6,19,4.3589,14.6411,23.3589
46,57.4,19,4.3589,14.6411,23.3589
47,60.2,5,2.23607,2.76393,7.23607
48,63,2,1.41421,0.585786,3.41421
49,65.8,1,1,0,2
50,68.6,0,0,0,0
