Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,4,2,2,6
5,-57.4,10,3.16228,6.83772,13.1623
6,-54.6,13,3.60555,9.39445,16.6056
7,-51.8,12,3.4641,8.5359,15.4641
8,-49,18,4.24264,13.7574,22.2426
9,-46.2,12,3.4641,8.5359,15.4641
10,-43.4,8,2.82843,5.17157,10.8284
11,-40.6,9,3,6,12
12,-37.8,20,4.47214,15.5279,24.4721
13,-35,18,4.24264,13.7574,22.2426
14,-32.2,19,4.3589,14.6411,23.3589
15,-29.4,14,3.74166,10.2583,17.7417
16,-26.6,12,3.4641,8.5359,15.4641
17,-23.8,11,3.31662,7.68338,14.3166
18,-21,15,3.87298,11.127,18.873
19,-18.2,15,3.87298,11.127,18.873
20,-15.4,13,3.60555,9.39445,16.6056
21,-12.6,6,2.44949,3.55051,8.44949
22,-9.8,11,3.31662,7.68338,14.3166
23,-7,15,3.87298,11.127,18.873
24,-4.2,2,1.41421,0.585786,3.41421
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,9,3,6,12
28,7,13,3.60555,9.39445,16.6056
29,9.8,8,2.82843,5.17157,10.8284
30,12.6,14,3.74166,10.2583,17.7417
31,15.4,10,3.16228,6.83772,13.1623
32,18.2,19,4.3589,14.6411,23.3589
33,21,13,3.60555,9.39445,16.6056
34,23.8,12,3.4641,8.5359,15.4641
35,26.6,19,4.3589,14.6411,23.3589
36,29.4,12,3.4641,8.5359,15.4641
37,32.2,11,3.31662,7.68338,14.3166
38,35,10,3.16228,6.83772,13.1623
39,37.8,8,2.82843,5.17157,10.8284
40,40.6,11,3.31662,7.68338,14.3166
41,43.4,12,3.4641,8.5359,15.4641
42,46.2,6,2.44949,3.55051,8.44949
43,49,7,2.64575,4.35425,9.64575
44,51.8,5,2.23607,2.76393,7.23607
45,54.6,6,2.44949,3.55051,8.44949
46,57.4,4,2,2,6
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
