histogram,entries,mean,std_dev
reco_mult_prim_total,860.00,2.17,1.18
reco_mult_prim_shower,322.00,2.34,1.74
reco_mult_muon,828.00,1.42,0.72
reco_mult_pion,155.00,1.12,0.39
reco_mult_proton,362.00,1.27,0.57
reco_mult_kaon,50.00,1.20,0.53
reco_length_prim_muon,1217.00,47.65,27.42
reco_length_prim_pion,181.00,30.29,22.06
reco_length_prim_proton,466.00,21.10,20.24
reco_length_prim_kaon,62.00,28.36,25.41
reco_energy_prim_muon,1217.00,0.23,0.12
reco_energy_prim_pion,181.00,0.12,0.08
reco_energy_prim_proton,466.00,0.17,0.10
reco_energy_prim_kaon,62.00,0.16,0.10
reco_cosTheta_prim_muon,1217.00,0.88,0.29
reco_cosTheta_prim_pion,181.00,0.61,0.52
reco_cosTheta_prim_proton,466.00,0.51,0.49
reco_cosTheta_prim_kaon,62.00,0.70,0.40
reco_start_x_muon,1217.00,35.10,3.24
reco_start_y_muon,1217.00,-0.21,33.38
reco_start_z_muon,1217.00,1.02,34.10
reco_start_x_pion,181.00,35.29,3.26
reco_start_y_pion,181.00,0.73,32.67
reco_start_z_pion,181.00,-6.53,33.71
reco_start_x_proton,466.00,35.24,3.09
reco_start_y_proton,466.00,-2.36,33.37
reco_start_z_proton,466.00,-5.69,33.25
reco_start_x_kaon,62.00,34.61,3.31
reco_start_y_kaon,62.00,11.33,34.62
reco_start_z_kaon,62.00,-4.08,37.36
reco_nu_vtx_x_CC_LArFV,860.00,35.03,2.84
reco_nu_vtx_y_CC_LArFV,860.00,1.43,32.98
reco_nu_vtx_z_CC_LArFV,860.00,-2.11,33.30
true_nu_vtx_x_CC_LArFV,13278.00,-0.62,35.66
true_nu_vtx_y_CC_LArFV,13278.00,-0.80,32.70
true_nu_vtx_z_CC_LArFV,13278.00,-0.25,35.65
