Interaction,Muons,Protons,Pions,Kaons
1,1,0,0,0
2,0,1,0,1
3,1,0,0,0
4,1,0,0,0
5,0,1,0,0
6,0,0,2,0
7,0,1,0,0
8,0,0,1,0
9,1,0,0,0
10,0,0,1,0
11,1,0,0,0
12,1,0,0,0
13,0,0,0,1
14,1,0,0,0
15,0,0,1,0
16,1,0,0,0
17,0,0,1,0
18,0,0,1,0
19,2,0,0,0
20,1,0,0,0
21,1,0,0,0
22,3,0,1,2
23,1,0,0,0
24,2,0,0,0
25,1,0,0,0
26,0,2,0,0
27,0,0,0,2
28,2,1,0,0
29,0,0,0,1
30,0,1,2,0
31,0,2,0,0
32,1,0,1,0
33,0,0,1,0
34,1,0,0,0
35,0,0,1,0
36,0,1,0,0
37,1,1,0,0
38,2,0,0,0
39,0,0,1,0
40,0,0,1,0
41,2,0,0,2
42,0,1,2,0
43,1,0,0,0
44,0,1,0,0
45,0,1,0,0
46,0,0,1,0
47,0,0,2,0
48,1,0,1,0
49,1,0,0,0
50,1,0,0,0
51,0,0,1,0
52,0,1,0,0
53,1,0,0,0
54,1,0,0,0
55,1,0,0,0
56,1,0,0,0
57,1,0,0,0
58,1,0,0,0
59,1,0,0,0
60,2,0,0,0
61,1,0,0,1
62,0,0,1,0
63,1,0,0,0
64,1,0,1,0
65,0,1,2,1
66,1,0,1,0
67,1,0,0,0
68,0,0,1,0
69,1,0,0,0
70,1,0,0,0
71,1,0,0,0
72,0,0,1,0
73,1,0,0,0
74,0,1,1,0
75,1,0,0,0
76,0,0,1,0
77,1,0,0,0
78,0,1,0,0
79,0,1,0,0
80,0,1,0,0
81,0,0,0,1
82,1,0,0,0
83,1,0,0,0
84,0,1,0,1
85,1,0,0,0
86,1,0,0,1
87,0,3,0,2
88,1,0,0,0
89,1,0,0,0
90,1,1,1,1
91,1,0,0,0
92,1,0,0,0
93,1,0,0,0
94,2,0,0,0
95,1,0,0,0
96,2,0,0,0
97,1,0,0,0
98,1,0,0,0
99,0,1,0,2
100,0,1,0,0
101,2,1,0,0
102,0,0,2,1
103,1,0,0,1
104,1,0,0,0
105,1,0,0,0
106,1,0,0,0
107,1,0,0,0
108,1,0,0,0
109,1,0,0,0
110,1,0,0,0
111,1,0,0,0
112,1,0,0,0
113,1,0,0,0
114,0,1,0,0
115,1,0,0,0
116,1,0,0,0
117,0,0,1,0
118,1,0,0,0
119,1,0,0,0
120,1,0,0,0
121,0,0,1,0
122,1,0,0,0
123,1,0,0,0
124,1,0,0,0
125,1,0,0,0
126,1,0,0,0
127,0,1,0,0
128,1,0,0,0
129,1,0,0,0
130,1,0,0,0
131,2,1,0,0
132,1,0,0,0
133,0,1,2,0
134,1,0,0,0
135,1,0,0,1
136,1,0,0,0
137,1,0,0,0
138,1,0,0,0
139,1,1,0,0
140,0,0,0,1
141,0,0,1,0
142,0,0,0,1
143,0,0,1,0
144,0,0,1,0
145,1,0,0,0
146,1,0,0,0
147,1,1,0,0
148,1,0,0,0
149,1,1,0,0
