Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,155,12.4499,142.55,167.45
2,-0.97,83,9.11043,73.8896,92.1104
3,-0.95,59,7.68115,51.3189,66.6811
4,-0.93,56,7.48331,48.5167,63.4833
5,-0.91,44,6.63325,37.3668,50.6332
6,-0.89,33,5.74456,27.2554,38.7446
7,-0.87,38,6.16441,31.8356,44.1644
8,-0.85,38,6.16441,31.8356,44.1644
9,-0.83,34,5.83095,28.169,39.831
10,-0.81,28,5.2915,22.7085,33.2915
11,-0.79,15,3.87298,11.127,18.873
12,-0.77,16,4,12,20
13,-0.75,17,4.12311,12.8769,21.1231
14,-0.73,18,4.24264,13.7574,22.2426
15,-0.71,20,4.47214,15.5279,24.4721
16,-0.69,19,4.3589,14.6411,23.3589
17,-0.67,15,3.87298,11.127,18.873
18,-0.65,11,3.31662,7.68338,14.3166
19,-0.63,20,4.47214,15.5279,24.4721
20,-0.61,8,2.82843,5.17157,10.8284
21,-0.59,6,2.44949,3.55051,8.44949
22,-0.57,7,2.64575,4.35425,9.64575
23,-0.55,12,3.4641,8.5359,15.4641
24,-0.53,7,2.64575,4.35425,9.64575
25,-0.51,16,4,12,20
26,-0.49,8,2.82843,5.17157,10.8284
27,-0.47,10,3.16228,6.83772,13.1623
28,-0.45,14,3.74166,10.2583,17.7417
29,-0.43,7,2.64575,4.35425,9.64575
30,-0.41,13,3.60555,9.39445,16.6056
31,-0.39,6,2.44949,3.55051,8.44949
32,-0.37,6,2.44949,3.55051,8.44949
33,-0.35,6,2.44949,3.55051,8.44949
34,-0.33,11,3.31662,7.68338,14.3166
35,-0.31,5,2.23607,2.76393,7.23607
36,-0.29,9,3,6,12
37,-0.27,10,3.16228,6.83772,13.1623
38,-0.25,2,1.41421,0.585786,3.41421
39,-0.23,5,2.23607,2.76393,7.23607
40,-0.21,10,3.16228,6.83772,13.1623
41,-0.19,4,2,2,6
42,-0.17,8,2.82843,5.17157,10.8284
43,-0.15,11,3.31662,7.68338,14.3166
44,-0.13,7,2.64575,4.35425,9.64575
45,-0.11,7,2.64575,4.35425,9.64575
46,-0.09,4,2,2,6
47,-0.07,4,2,2,6
48,-0.05,5,2.23607,2.76393,7.23607
49,-0.03,6,2.44949,3.55051,8.44949
50,-0.01,2,1.41421,0.585786,3.41421
51,0.01,19,4.3589,14.6411,23.3589
52,0.03,1,1,0,2
53,0.05,8,2.82843,5.17157,10.8284
54,0.07,9,3,6,12
55,0.09,6,2.44949,3.55051,8.44949
56,0.11,7,2.64575,4.35425,9.64575
57,0.13,6,2.44949,3.55051,8.44949
58,0.15,8,2.82843,5.17157,10.8284
59,0.17,8,2.82843,5.17157,10.8284
60,0.19,15,3.87298,11.127,18.873
61,0.21,8,2.82843,5.17157,10.8284
62,0.23,9,3,6,12
63,0.25,9,3,6,12
64,0.27,8,2.82843,5.17157,10.8284
65,0.29,9,3,6,12
66,0.31,10,3.16228,6.83772,13.1623
67,0.33,11,3.31662,7.68338,14.3166
68,0.35,11,3.31662,7.68338,14.3166
69,0.37,11,3.31662,7.68338,14.3166
70,0.39,8,2.82843,5.17157,10.8284
71,0.41,14,3.74166,10.2583,17.7417
72,0.43,9,3,6,12
73,0.45,18,4.24264,13.7574,22.2426
74,0.47,16,4,12,20
75,0.49,11,3.31662,7.68338,14.3166
76,0.51,24,4.89898,19.101,28.899
77,0.53,15,3.87298,11.127,18.873
78,0.55,26,5.09902,20.901,31.099
79,0.57,13,3.60555,9.39445,16.6056
80,0.59,26,5.09902,20.901,31.099
81,0.61,19,4.3589,14.6411,23.3589
82,0.63,18,4.24264,13.7574,22.2426
83,0.65,31,5.56776,25.4322,36.5678
84,0.67,20,4.47214,15.5279,24.4721
85,0.69,28,5.2915,22.7085,33.2915
86,0.71,41,6.40312,34.5969,47.4031
87,0.73,32,5.65685,26.3431,37.6569
88,0.75,48,6.9282,41.0718,54.9282
89,0.77,42,6.48074,35.5193,48.4807
90,0.79,41,6.40312,34.5969,47.4031
91,0.81,62,7.87401,54.126,69.874
92,0.83,52,7.2111,44.7889,59.2111
93,0.85,72,8.48528,63.5147,80.4853
94,0.87,70,8.3666,61.6334,78.3666
95,0.89,98,9.89949,88.1005,107.899
96,0.91,112,10.583,101.417,122.583
97,0.93,169,13,156,182
98,0.95,205,14.3178,190.682,219.318
99,0.97,358,18.9209,339.079,376.921
100,0.99,550,23.4521,526.548,573.452
