Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,1360,36.8782,1323.12,1396.88
2,-0.97,659,25.671,633.329,684.671
3,-0.95,416,20.3961,395.604,436.396
4,-0.93,323,17.9722,305.028,340.972
5,-0.91,251,15.843,235.157,266.843
6,-0.89,250,15.8114,234.189,265.811
7,-0.87,213,14.5945,198.405,227.595
8,-0.85,173,13.1529,159.847,186.153
9,-0.83,167,12.9228,154.077,179.923
10,-0.81,132,11.4891,120.511,143.489
11,-0.79,122,11.0454,110.955,133.045
12,-0.77,87,9.32738,77.6726,96.3274
13,-0.75,106,10.2956,95.7044,116.296
14,-0.73,91,9.53939,81.4606,100.539
15,-0.71,70,8.3666,61.6334,78.3666
16,-0.69,79,8.88819,70.1118,87.8882
17,-0.67,78,8.83176,69.1682,86.8318
18,-0.65,62,7.87401,54.126,69.874
19,-0.63,66,8.12404,57.876,74.124
20,-0.61,37,6.08276,30.9172,43.0828
21,-0.59,65,8.06226,56.9377,73.0623
22,-0.57,46,6.78233,39.2177,52.7823
23,-0.55,52,7.2111,44.7889,59.2111
24,-0.53,36,6,30,42
25,-0.51,59,7.68115,51.3189,66.6811
26,-0.49,51,7.14143,43.8586,58.1414
27,-0.47,51,7.14143,43.8586,58.1414
28,-0.45,53,7.28011,45.7199,60.2801
29,-0.43,30,5.47723,24.5228,35.4772
30,-0.41,43,6.55744,36.4426,49.5574
31,-0.39,37,6.08276,30.9172,43.0828
32,-0.37,46,6.78233,39.2177,52.7823
33,-0.35,43,6.55744,36.4426,49.5574
34,-0.33,33,5.74456,27.2554,38.7446
35,-0.31,46,6.78233,39.2177,52.7823
36,-0.29,36,6,30,42
37,-0.27,37,6.08276,30.9172,43.0828
38,-0.25,46,6.78233,39.2177,52.7823
39,-0.23,38,6.16441,31.8356,44.1644
40,-0.21,33,5.74456,27.2554,38.7446
41,-0.19,34,5.83095,28.169,39.831
42,-0.17,38,6.16441,31.8356,44.1644
43,-0.15,37,6.08276,30.9172,43.0828
44,-0.13,38,6.16441,31.8356,44.1644
45,-0.11,45,6.7082,38.2918,51.7082
46,-0.09,33,5.74456,27.2554,38.7446
47,-0.07,29,5.38516,23.6148,34.3852
48,-0.05,30,5.47723,24.5228,35.4772
49,-0.03,36,6,30,42
50,-0.01,10,3.16228,6.83772,13.1623
51,0.01,69,8.30662,60.6934,77.3066
52,0.03,34,5.83095,28.169,39.831
53,0.05,36,6,30,42
54,0.07,43,6.55744,36.4426,49.5574
55,0.09,46,6.78233,39.2177,52.7823
56,0.11,52,7.2111,44.7889,59.2111
57,0.13,49,7,42,56
58,0.15,75,8.66025,66.3397,83.6603
59,0.17,59,7.68115,51.3189,66.6811
60,0.19,58,7.61577,50.3842,65.6158
61,0.21,56,7.48331,48.5167,63.4833
62,0.23,40,6.32456,33.6754,46.3246
63,0.25,72,8.48528,63.5147,80.4853
64,0.27,55,7.4162,47.5838,62.4162
65,0.29,67,8.18535,58.8146,75.1854
66,0.31,78,8.83176,69.1682,86.8318
67,0.33,78,8.83176,69.1682,86.8318
68,0.35,57,7.54983,49.4502,64.5498
69,0.37,81,9,72,90
70,0.39,82,9.05539,72.9446,91.0554
71,0.41,81,9,72,90
72,0.43,83,9.11043,73.8896,92.1104
73,0.45,91,9.53939,81.4606,100.539
74,0.47,86,9.27362,76.7264,95.2736
75,0.49,110,10.4881,99.5119,120.488
76,0.51,111,10.5357,100.464,121.536
77,0.53,121,11,110,132
78,0.55,102,10.0995,91.9005,112.1
79,0.57,124,11.1355,112.864,135.136
80,0.59,128,11.3137,116.686,139.314
81,0.61,129,11.3578,117.642,140.358
82,0.63,154,12.4097,141.59,166.41
83,0.65,125,11.1803,113.82,136.18
84,0.67,146,12.083,133.917,158.083
85,0.69,165,12.8452,152.155,177.845
86,0.71,211,14.5258,196.474,225.526
87,0.73,207,14.3875,192.613,221.387
88,0.75,237,15.3948,221.605,252.395
89,0.77,273,16.5227,256.477,289.523
90,0.79,284,16.8523,267.148,300.852
91,0.81,327,18.0831,308.917,345.083
92,0.83,384,19.5959,364.404,403.596
93,0.85,452,21.2603,430.74,473.26
94,0.87,513,22.6495,490.35,535.65
95,0.89,627,25.04,601.96,652.04
96,0.91,723,26.8887,696.111,749.889
97,0.93,1034,32.1559,1001.84,1066.16
98,0.95,1613,40.1622,1572.84,1653.16
99,0.97,2994,54.7175,2939.28,3048.72
100,0.99,8986,94.7945,8891.21,9080.79
