Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,215,14.6629,200.337,229.663
2,-0.97,51,7.14143,43.8586,58.1414
3,-0.95,25,5,20,30
4,-0.93,19,4.3589,14.6411,23.3589
5,-0.91,16,4,12,20
6,-0.89,12,3.4641,8.5359,15.4641
7,-0.87,10,3.16228,6.83772,13.1623
8,-0.85,7,2.64575,4.35425,9.64575
9,-0.83,5,2.23607,2.76393,7.23607
10,-0.81,5,2.23607,2.76393,7.23607
11,-0.79,8,2.82843,5.17157,10.8284
12,-0.77,4,2,2,6
13,-0.75,2,1.41421,0.585786,3.41421
14,-0.73,3,1.73205,1.26795,4.73205
15,-0.71,7,2.64575,4.35425,9.64575
16,-0.69,3,1.73205,1.26795,4.73205
17,-0.67,3,1.73205,1.26795,4.73205
18,-0.65,3,1.73205,1.26795,4.73205
19,-0.63,3,1.73205,1.26795,4.73205
20,-0.61,1,1,0,2
21,-0.59,0,0,0,0
22,-0.57,2,1.41421,0.585786,3.41421
23,-0.55,0,0,0,0
24,-0.53,3,1.73205,1.26795,4.73205
25,-0.51,1,1,0,2
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,2,1.41421,0.585786,3.41421
29,-0.43,2,1.41421,0.585786,3.41421
30,-0.41,1,1,0,2
31,-0.39,0,0,0,0
32,-0.37,1,1,0,2
33,-0.35,0,0,0,0
34,-0.33,1,1,0,2
35,-0.31,2,1.41421,0.585786,3.41421
36,-0.29,3,1.73205,1.26795,4.73205
37,-0.27,2,1.41421,0.585786,3.41421
38,-0.25,2,1.41421,0.585786,3.41421
39,-0.23,1,1,0,2
40,-0.21,0,0,0,0
41,-0.19,1,1,0,2
42,-0.17,0,0,0,0
43,-0.15,0,0,0,0
44,-0.13,2,1.41421,0.585786,3.41421
45,-0.11,0,0,0,0
46,-0.09,1,1,0,2
47,-0.07,1,1,0,2
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,3,1.73205,1.26795,4.73205
52,0.03,0,0,0,0
53,0.05,1,1,0,2
54,0.07,1,1,0,2
55,0.09,0,0,0,0
56,0.11,0,0,0,0
57,0.13,0,0,0,0
58,0.15,3,1.73205,1.26795,4.73205
59,0.17,4,2,2,6
60,0.19,2,1.41421,0.585786,3.41421
61,0.21,0,0,0,0
62,0.23,0,0,0,0
63,0.25,2,1.41421,0.585786,3.41421
64,0.27,2,1.41421,0.585786,3.41421
65,0.29,1,1,0,2
66,0.31,5,2.23607,2.76393,7.23607
67,0.33,1,1,0,2
68,0.35,0,0,0,0
69,0.37,3,1.73205,1.26795,4.73205
70,0.39,1,1,0,2
71,0.41,2,1.41421,0.585786,3.41421
72,0.43,3,1.73205,1.26795,4.73205
73,0.45,2,1.41421,0.585786,3.41421
74,0.47,6,2.44949,3.55051,8.44949
75,0.49,1,1,0,2
76,0.51,3,1.73205,1.26795,4.73205
77,0.53,3,1.73205,1.26795,4.73205
78,0.55,1,1,0,2
79,0.57,0,0,0,0
80,0.59,3,1.73205,1.26795,4.73205
81,0.61,3,1.73205,1.26795,4.73205
82,0.63,1,1,0,2
83,0.65,4,2,2,6
84,0.67,3,1.73205,1.26795,4.73205
85,0.69,3,1.73205,1.26795,4.73205
86,0.71,6,2.44949,3.55051,8.44949
87,0.73,2,1.41421,0.585786,3.41421
88,0.75,2,1.41421,0.585786,3.41421
89,0.77,4,2,2,6
90,0.79,9,3,6,12
91,0.81,5,2.23607,2.76393,7.23607
92,0.83,8,2.82843,5.17157,10.8284
93,0.85,10,3.16228,6.83772,13.1623
94,0.87,9,3,6,12
95,0.89,14,3.74166,10.2583,17.7417
96,0.91,10,3.16228,6.83772,13.1623
97,0.93,26,5.09902,20.901,31.099
98,0.95,28,5.2915,22.7085,33.2915
99,0.97,66,8.12404,57.876,74.124
100,0.99,224,14.9666,209.033,238.967
